Time_Index,Demand_MW,Demand_MW_25,Demand_MW_30,Demand_MW_35,Demand_heat,Demand_Zero
237,73668.0479,78104.25896,82048.2738,85064.50476,8700,0
238,70162.87697,74388.01038,78144.36657,81017.08342,8700,0
239,66038.18746,70014.93648,73550.46645,76254.30389,8700,0
240,64180.59072,68045.47725,71481.55584,74109.33668,8700,0
241,52714.70191,55889.12488,58711.34662,60869.67334,8700,0
242,50841.76106,53903.39754,56625.34641,58706.98829,8700,0
243,49556.69156,52540.94252,55194.09179,57223.11837,8700,0
244,48958.27113,51906.48586,54527.59709,56532.12222,8700,0
245,48897.85368,51842.43013,54460.30676,56462.35818,8700,0
246,49243.09624,52208.46283,54844.82293,56861.00981,8700,0
247,49675.60844,52667.02045,55326.53625,57360.43171,8700,0
248,49510.65922,52492.13817,55142.82296,57169.96482,8700,0
249,49394.61936,52369.11051,55013.58281,57035.97358,8700,0
250,49339.95595,52311.15533,54952.70107,56972.85373,8700,0
251,50269.23383,53296.39333,55987.69044,58045.89102,8700,0
252,50656.67269,53707.16334,56419.20302,58493.26673,8700,0
253,50996.1612,54067.09549,56797.31058,58885.27416,8700,0
254,52522.9005,55685.77339,58497.72654,60648.20023,8700,0
255,54189.65482,57452.89788,60354.08515,62572.80166,8700,0
256,55888.05639,59253.57537,62245.69109,64533.94618,8700,0
257,57803.19355,61284.04005,64378.68772,66745.35532,8700,0
258,59522.69327,63107.0862,66293.79186,68730.86188,8700,0
259,61278.63526,64968.76914,68249.48383,70758.44833,8700,0
260,61867.46561,65593.05822,68905.29751,71438.37081,8700,0
261,60767.48448,64426.8374,67680.18628,70168.22245,8700,0
262,58907.01072,62454.3279,65608.07137,68019.93315,8700,0
263,56463.46064,59863.62985,62886.55136,65198.36555,8700,0
264,54489.82404,57771.14297,60688.40059,62919.4071,8700,0
265,55661.73071,59013.6206,61993.61937,64272.60789,8700,0
266,54091.8361,57349.18862,60245.1389,62459.85038,8700,0
267,53291.06518,56500.19613,59353.27501,61535.20009,8700,0
268,52737.71808,55913.52706,58736.98104,60896.25012,8700,0
269,52720.45596,55895.22543,58717.75524,60876.31754,8700,0
270,54091.8361,57349.18862,60245.1389,62459.85038,8700,0
271,56636.08192,60046.6462,63078.80945,65397.69136,8700,0
272,61202.8737,64888.4453,68165.10389,70670.96644,8700,0
273,67446.96888,71508.55321,75119.50604,77881.02398,8700,0
274,70473.59527,74717.43981,78490.43113,81375.86988,8700,0
275,71048.04052,75326.47753,79130.22331,82039.18189,8700,0
276,71367.38988,75665.05777,79485.90077,82407.93464,8700,0
277,69595.14477,73786.08996,77512.0511,80361.52297,8700,0
278,71620.56776,75933.48175,79767.8793,82700.27917,8700,0
279,72534.50152,76902.45163,80785.77905,83755.5986,8700,0
280,72580.53386,76951.25598,80837.04787,83808.75215,8700,0
281,72579.57485,76950.23922,80835.97976,83807.64478,8700,0
282,70775.68251,75037.71842,78826.88278,81724.69006,8700,0
283,70022.86194,74239.5638,77988.42391,80855.40804,8700,0
284,68583.39229,72713.41082,76385.2051,79193.25225,8700,0
285,66255.88207,70245.74043,73792.92526,76505.67588,8700,0
286,63553.40009,67380.51787,70783.01815,73385.11958,8700,0
287,60422.24192,64060.80471,67295.6701,69769.57082,8700,0
288,59232.11412,62799.00868,65970.15742,68395.33009,8700,0
