Time_Index,Demand_Zero ,Demand_Electricity,Demand_Hydrogen,Demand_Ammonia,Demand_Biomethane,Demand_Gasoline,Demand_BioDiesel,Demand_GreenDiesel,Demand_Jetfuel,Demand_Ethanol,Demand_Charcoal 
134,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
135,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
136,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
137,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
138,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
139,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
140,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
141,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
142,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
143,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
144,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
145,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
146,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
147,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
148,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
149,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
150,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
151,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
152,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
153,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
154,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
155,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
156,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
157,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
158,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
159,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
160,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
161,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
162,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
163,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
164,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
165,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
166,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
167,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
168,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
169,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
170,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
171,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
172,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
173,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
174,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
175,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
176,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
177,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
178,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
179,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
180,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
181,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
182,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
183,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
184,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
185,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
186,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
187,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
188,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
189,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
190,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
191,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
192,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
193,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
194,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
195,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
196,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
197,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
198,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
199,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
200,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
201,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
202,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
203,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
204,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
205,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
206,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
207,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
208,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
209,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
210,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
211,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
212,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
213,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
214,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
215,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
216,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
217,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
218,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
219,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
220,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
221,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
222,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
223,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
224,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
225,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
226,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
227,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
228,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
229,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
230,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
231,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
232,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
233,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
234,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
235,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
236,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
237,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
238,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
239,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
240,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
241,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
242,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
243,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
244,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
245,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
246,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
247,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
248,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
249,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
250,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
251,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
252,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
253,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
254,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
255,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
256,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
257,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
258,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
