Type,id,edges--transmission_edge--has_capacity,edges--transmission_edge--commodity,edges--transmission_edge--can_retire,edges--transmission_edge--can_expand,edges--transmission_edge--constraints--CapacityConstraint,edges--transmission_edge--constraints--MaxCapacityConstraint,edges--transmission_edge--start_vertex,edges--transmission_edge--end_vertex,edges--transmission_edge--distance,edges--transmission_edge--loss_fraction,edges--transmission_edge--max_capacity,edges--transmission_edge--existing_capacity,edges--transmission_edge--lifetime,edges--transmission_edge--wacc,edges--transmission_edge--investment_cost,edges--transmission_edge--variable_om_cost,edges--transmission_edge--fixed_om_cost
OneWayTransmissionLink,GWN_to_GGI_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_GWN,elec_GGI,72.236,0.03,100000,11971.2,50,0.08,443637.83,1,100
OneWayTransmissionLink,GWN_to_GNB_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_GWN,elec_GNB,161.631,0.03,100000,5560.2,50,0.08,443637.83,1,100
OneWayTransmissionLink,INC_to_GGI_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_INC,elec_GGI,71.947,0.03,100000,14400.9,50,0.08,443637.83,1,100
OneWayTransmissionLink,INC_to_SEL_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_INC,elec_SEL,27.002,0.03,100000,5850.1,50,0.08,443637.83,1,100
OneWayTransmissionLink,JEJ_to_JNA_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_JEJ,elec_JNA,147.603,0.03,100000,900.0,50,0.08,443637.83,1,100
OneWayTransmissionLink,JNA_to_GNA_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_JNA,elec_GNA,174.535,0.03,100000,3317.0,50,0.08,443637.83,1,100
OneWayTransmissionLink,JNA_to_JEJ_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_JNA,elec_JEJ,147.603,0.03,100000,900.0,50,0.08,443637.83,1,100
OneWayTransmissionLink,JNA_to_JNB_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_JNA,elec_JNB,126.075,0.03,100000,9978.6,50,0.08,443637.83,1,100
OneWayTransmissionLink,JNA_to_KWJ_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_JNA,elec_KWJ,52.132,0.03,100000,5559.6,50,0.08,443637.83,1,100
OneWayTransmissionLink,JNB_to_CNA_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_JNB,elec_CNA,82.46,0.03,100000,3077.0,50,0.08,443637.83,1,100
