from_bus,to_bus,id,name,r_pu,x_pu,b_pu,g_from_pu,b_from_pu,g_to_pu,b_to_pu,rate_a_mva,rate_b_mva,rate_c_mva,length_km,in_service
20041,20075,2,345osm_신서산_345-신당진_345_2,0.000332,0.003566,0.075146,0.0,0.0,0.0,0.0,2000,2200,2500,12.78,1
20034,20068,1,345osm_서서울_345-신안산_345_1,0.000344,0.003688,0.077734,0.0,0.0,0.0,0.0,2000,2200,2500,13.22,1
20034,20068,2,345osm_서서울_345-신안산_345_2,0.000344,0.003688,0.077734,0.0,0.0,0.0,0.0,2000,2200,2500,13.22,1
20000,20013,1,345osm_신양재_345-신성남_345_1,0.00034,0.003647,0.076852,0.0,0.0,0.0,0.0,2000,2200,2500,13.07,1
20000,20013,2,345osm_신양재_345-신성남_345_2,0.00034,0.003647,0.076852,0.0,0.0,0.0,0.0,2000,2200,2500,13.07,1
20000,20013,3,345osm_신양재_345-신성남_345_3,0.00034,0.003647,0.076852,0.0,0.0,0.0,0.0,2000,2200,2500,13.07,1
20000,20013,4,345osm_신양재_345-신성남_345_4,0.00034,0.003647,0.076852,0.0,0.0,0.0,0.0,2000,2200,2500,13.07,1
20037,20068,1,345osm_신시흥_345-신안산_345_1,0.000365,0.003917,0.082555,0.0,0.0,0.0,0.0,2000,2200,2500,14.04,1
20037,20068,2,345osm_신시흥_345-신안산_345_2,0.000365,0.003917,0.082555,0.0,0.0,0.0,0.0,2000,2200,2500,14.04,1
20037,20068,3,345osm_신시흥_345-신안산_345_3,0.000365,0.003917,0.082555,0.0,0.0,0.0,0.0,2000,2200,2500,14.04,1
20037,20068,4,345osm_신시흥_345-신안산_345_4,0.000365,0.003917,0.082555,0.0,0.0,0.0,0.0,2000,2200,2500,14.04,1
20015,20037,1,345osm_신광명_345-신시흥_345_1,0.000385,0.004135,0.087142,0.0,0.0,0.0,0.0,2000,2200,2500,14.82,1
20015,20037,2,345osm_신광명_345-신시흥_345_2,0.000385,0.004135,0.087142,0.0,0.0,0.0,0.0,2000,2200,2500,14.82,1
20015,20037,3,345osm_신광명_345-신시흥_345_3,0.000385,0.004135,0.087142,0.0,0.0,0.0,0.0,2000,2200,2500,14.82,1
20015,20037,4,345osm_신광명_345-신시흥_345_4,0.000385,0.004135,0.087142,0.0,0.0,0.0,0.0,2000,2200,2500,14.82,1
20015,20034,1,345osm_신광명_345-서서울_345_1,0.000415,0.004456,0.093904,0.0,0.0,0.0,0.0,2000,2200,2500,15.97,1
20015,20034,2,345osm_신광명_345-서서울_345_2,0.000415,0.004456,0.093904,0.0,0.0,0.0,0.0,2000,2200,2500,15.97,1
20112,20113,1,345osm_창원_345-신김해_345_1,0.000412,0.004422,0.093198,0.0,0.0,0.0,0.0,2000,2200,2500,15.85,1
