bus,id,name,p_mw,q_mvar,vset_pu,q_max_mvar,q_min_mvar,p_max_mw,p_min_mw,mbase_mva,reg_bus,is_slack,in_service
40602,WT83,풍력_평창,3.113,0.0,1.0,0.0,0.0,18.31,0.0,18.3,40602,0,1
40397,WT84,풍력_춘천,3.578,0.0,1.0,0.0,0.0,21.05,0.0,21.0,40397,0,1
40626,WT85,풍력_도계,3.021,0.0,1.0,0.0,0.0,17.77,0.0,17.8,40626,0,1
40603,WT86,풍력_삼척,3.182,0.0,1.0,0.0,0.0,18.72,0.0,18.7,40603,0,1
40063,WT87,풍력_양양,2.545,0.0,1.0,0.0,0.0,14.97,0.0,15.0,40063,0,1
40385,WT88,풍력_문막,3.684,0.0,1.0,0.0,0.0,21.67,0.0,21.7,40385,0,1
40203,WT89,풍력_북평,3.402,0.0,1.0,0.0,0.0,20.01,0.0,20.0,40203,0,1
40186,WT90,풍력_간성,2.12,0.0,1.0,0.0,0.0,12.47,0.0,12.5,40186,0,1
40592,WT101,풍력_중산,0.248,0.0,1.0,0.0,0.0,1.46,0.0,1.5,40592,0,1
40740,WT102,풍력_세종로,0.246,0.0,1.0,0.0,0.0,1.45,0.0,1.5,40740,0,1
40017,WT103,풍력_대림,0.195,0.0,1.0,0.0,0.0,1.15,0.0,1.2,40017,0,1
40778,WT104,풍력_syn서울10,0.297,0.0,1.0,0.0,0.0,1.75,0.0,1.8,40778,0,1
40591,WT105,풍력_남동,0.178,0.0,1.0,0.0,0.0,1.05,0.0,1.1,40591,0,1
40442,WT106,풍력_진접,0.399,0.0,1.0,0.0,0.0,2.35,0.0,2.4,40442,0,1
40796,WT107,풍력_syn서울28,0.321,0.0,1.0,0.0,0.0,1.89,0.0,1.9,40796,0,1
40688,WT108,풍력_서강화,0.331,0.0,1.0,0.0,0.0,1.95,0.0,1.9,40688,0,1
40367,WT109,풍력_월롱,0.184,0.0,1.0,0.0,0.0,1.08,0.0,1.1,40367,0,1
40004,WT110,풍력_논일,0.35,0.0,1.0,0.0,0.0,2.06,0.0,2.1,40004,0,1
40784,WT111,풍력_syn서울16,0.184,0.0,1.0,0.0,0.0,1.08,0.0,1.1,40784,0,1
40390,WT112,풍력_김포,0.24,0.0,1.0,0.0,0.0,1.41,0.0,1.4,40390,0,1
40386,WT113,풍력_서판교,0.348,0.0,1.0,0.0,0.0,2.05,0.0,2.0,40386,0,1
40777,WT114,풍력_syn서울9,0.371,0.0,1.0,0.0,0.0,2.18,0.0,2.2,40777,0,1
40467,WT115,풍력_이천,0.325,0.0,1.0,0.0,0.0,1.91,0.0,1.9,40467,0,1
40457,WT116,풍력_기흥,0.238,0.0,1.0,0.0,0.0,1.4,0.0,1.4,40457,0,1
40297,WT117,풍력_성포,0.401,0.0,1.0,0.0,0.0,2.36,0.0,2.4,40297,0,1
40040,WT118,풍력_연대,0.284,0.0,1.0,0.0,0.0,1.67,0.0,1.7,40040,0,1
40036,WT119,풍력_중앙,0.233,0.0,1.0,0.0,0.0,1.37,0.0,1.4,40036,0,1
40369,WT120,풍력_신봉,0.362,0.0,1.0,0.0,0.0,2.13,0.0,2.1,40369,0,1
40791,WT121,풍력_syn서울23,0.396,0.0,1.0,0.0,0.0,2.33,0.0,2.3,40791,0,1
40407,WT122,풍력_조암,0.377,0.0,1.0,0.0,0.0,2.22,0.0,2.2,40407,0,1
40208,WT123,풍력_동안양,0.301,0.0,1.0,0.0,0.0,1.77,0.0,1.8,40208,0,1
40142,WT124,풍력_도봉,0.248,0.0,1.0,0.0,0.0,1.46,0.0,1.5,40142,0,1
40448,WT125,풍력_옥정,0.357,0.0,1.0,0.0,0.0,2.1,0.0,2.1,40448,0,1
40235,WT126,풍력_은평,0.235,0.0,1.0,0.0,0.0,1.38,0.0,1.4,40235,0,1
40365,WT127,풍력_호수,0.221,0.0,1.0,0.0,0.0,1.3,0.0,1.3,40365,0,1
40020,WT128,풍력_순화,0.34,0.0,1.0,0.0,0.0,2.0,0.0,2.0,40020,0,1
40432,WT129,풍력_팽성,0.313,0.0,1.0,0.0,0.0,1.84,0.0,1.8,40432,0,1
40738,WT130,풍력_양평,0.398,0.0,1.0,0.0,0.0,2.34,0.0,2.3,40738,0,1
40897,JW1,풍력_행원풍력,8.746,0.0,1.0,0.0,0.0,51.45,0.0,51.5,40897,0,1
40898,JW2,풍력_김녕풍력,8.746,0.0,1.0,0.0,0.0,51.45,0.0,51.5,40898,0,1
40899,JW3,풍력_동복풍력,8.746,0.0,1.0,0.0,0.0,51.45,0.0,51.5,40899,0,1
40900,JW4,풍력_가시리풍력,8.746,0.0,1.0,0.0,0.0,51.45,0.0,51.5,40900,0,1
40901,JW5,풍력_삼달풍력,8.746,0.0,1.0,0.0,0.0,51.45,0.0,51.5,40901,0,1
40902,JW6,풍력_탐라해상풍력,8.746,0.0,1.0,0.0,0.0,51.45,0.0,51.5,40902,0,1
40903,JW7,풍력_한경풍력,8.746,0.0,1.0,0.0,0.0,51.45,0.0,51.5,40903,0,1
40904,JW8,풍력_상명풍력,8.746,0.0,1.0,0.0,0.0,51.45,0.0,51.5,40904,0,1
