hv_bus,mv_bus,lv_bus,id,name,r_hv_mv_pu,x_hv_mv_pu,r_mv_lv_pu,x_mv_lv_pu,r_lv_hv_pu,x_lv_hv_pu,g_pu,b_pu,ratio_hv,ratio_mv,ratio_lv,tap_step,tap_min,tap_max,shift_mv_deg,shift_lv_deg,vn_hv_kv,vn_mv_kv,vn_lv_kv,rate_hv_mva,rate_mv_mva,rate_lv_mva,cont_bus,in_service
20022,40100,60022,2,신남원_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40100,1
20023,40101,60023,1,신김제_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,1.01,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40101,1
20023,40101,60023,2,신김제_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,1.01,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40101,1
20024,40102,60024,1,의령_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40102,1
20024,40102,60024,2,의령_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40102,1
20025,40103,60025,1,신마산_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40103,1
20025,40103,60025,2,신마산_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40103,1
20026,40104,60026,1,신양산_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40104,1
20026,40104,60026,2,신양산_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40104,1
20027,40105,60027,1,광양_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.98,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40105,1
20027,40105,60027,2,광양_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.98,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40105,1
20028,40111,60028,1,서서울_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40111,1
20028,40111,60028,2,서서울_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40111,1
20028,40111,60028,3,서서울_MTr3,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40111,1
20029,40112,60029,1,화성_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,1.0,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40112,1
20029,40112,60029,2,화성_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,1.0,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40112,1
20029,40112,60029,3,화성_MTr3,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,1.0,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40112,1
20030,40113,60030,1,신온양_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,1.01,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40113,1
20030,40113,60030,2,신온양_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,1.01,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40113,1
20031,40114,60031,1,신시흥_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40114,1
20031,40114,60031,2,신시흥_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40114,1
20031,40114,60031,3,신시흥_MTr3,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40114,1
20032,40115,60032,1,신진천_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,1.01,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40115,1
20032,40115,60032,2,신진천_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,1.01,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40115,1
20033,40116,60033,1,아산_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,1.01,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40116,1
20033,40116,60033,2,아산_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,1.01,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40116,1
10001,20034,60034,1,신서산_MTr1,0.0004,0.009,0.002,0.06,0.0018,0.05,0.0,0.0,1.0,1.0,1.0,0.01,0.9,1.1,0.0,0.0,765,345,23,2000.0,2000.0,667,20034,1
10001,20034,60034,2,신서산_MTr2,0.0004,0.009,0.002,0.06,0.0018,0.05,0.0,0.0,1.0,1.0,1.0,0.01,0.9,1.1,0.0,0.0,765,345,23,2000.0,2000.0,667,20034,1
10001,20034,60034,3,신서산_MTr3,0.0004,0.009,0.002,0.06,0.0018,0.05,0.0,0.0,1.0,1.0,1.0,0.01,0.9,1.1,0.0,0.0,765,345,23,2000.0,2000.0,667,20034,1
20035,40120,60035,1,동서울_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40120,1
20035,40120,60035,2,동서울_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40120,1
20035,40120,60035,3,동서울_MTr3,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40120,1
20036,40121,60036,1,미금_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40121,1
20036,40121,60036,2,미금_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40121,1
20036,40121,60036,3,미금_MTr3,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40121,1
20037,40122,60037,1,양주_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40122,1
20037,40122,60037,2,양주_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40122,1
20037,40122,60037,3,양주_MTr3,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40122,1
20038,40123,60038,1,신영주_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40123,1
20038,40123,60038,2,신영주_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40123,1
10002,20039,60039,1,신태백_MTr1,0.0004,0.009,0.002,0.06,0.0018,0.05,0.0,0.0,1.0,1.0,1.0,0.01,0.9,1.1,0.0,0.0,765,345,23,2000.0,2000.0,667,20039,1
10002,20039,60039,2,신태백_MTr2,0.0004,0.009,0.002,0.06,0.0018,0.05,0.0,0.0,1.0,1.0,1.0,0.01,0.9,1.1,0.0,0.0,765,345,23,2000.0,2000.0,667,20039,1
