from_bus,to_bus,id,name,r_pu,x_pu,b_pu,g_from_pu,b_from_pu,g_to_pu,b_to_pu,rate_a_mva,rate_b_mva,rate_c_mva,length_km,in_service,cable_km
20037,20046,4,345osm_양주_345-신파주_345_4,0.000377,0.004045,0.085241,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,14.5,1,0.0
20031,20059,1,345osm_신시흥_345-신안산_345_1,0.000365,0.003917,0.082555,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,14.04,1,0.0
20031,20059,2,345osm_신시흥_345-신안산_345_2,0.000365,0.003917,0.082555,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,14.04,1,0.0
20031,20059,3,345osm_신시흥_345-신안산_345_3,0.000365,0.003917,0.082555,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,14.04,1,0.0
20031,20059,4,345osm_신시흥_345-신안산_345_4,0.000365,0.003917,0.082555,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,14.04,1,0.0
20012,20031,1,345osm_신광명_345-신시흥_345_1,0.000385,0.004135,0.087142,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,14.82,1,0.0
20012,20031,2,345osm_신광명_345-신시흥_345_2,0.000385,0.004135,0.087142,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,14.82,1,0.0
20012,20031,3,345osm_신광명_345-신시흥_345_3,0.000385,0.004135,0.087142,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,14.82,1,0.0
20012,20031,4,345osm_신광명_345-신시흥_345_4,0.000385,0.004135,0.087142,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,14.82,1,0.0
20012,20028,1,345osm_신광명_345-서서울_345_1,0.000456,0.004896,0.103183,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,17.55,1,0.0
20012,20028,2,345osm_신광명_345-서서울_345_2,0.000456,0.004896,0.103183,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,17.55,1,0.0
20086,20087,1,345osm_창원_345-신김해_345_1,0.000412,0.004422,0.093198,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,15.85,1,0.0
20086,20087,2,345osm_창원_345-신김해_345_2,0.000412,0.004422,0.093198,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,15.85,1,0.0
20052,20087,1,345osm_신녹산_345-신김해_345_1,0.000429,0.004601,0.096961,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,16.49,1,0.0
