bus,name,region,base_kv,volt_class,type,area,area_name,zone,vm_pu,va_deg,vmax_pu,vmin_pu,in_service,lat,lon
70203,서순천_D23,전라남도,22.9,22.9kV,PQ,4,호남,14,1.00525,2.6188,1.05,0.95,1,34.90904,127.47961
40253,고흥_154,전라남도,154.0,154kV,PQ,4,호남,14,0.9958,2.7948,1.05,0.95,1,34.57816,127.25435
70204,고흥_D23,전라남도,22.9,22.9kV,PQ,4,호남,14,1.00549,-1.083,1.05,0.95,1,34.57816,127.25435
40254,장흥_154,전라남도,154.0,154kV,PQ,4,호남,14,1.00787,13.3822,1.05,0.95,1,34.69817,126.92312
70205,장흥_D23,전라남도,22.9,22.9kV,PQ,4,호남,14,0.99864,9.6161,1.05,0.95,1,34.69817,126.92312
40255,순천T2_154,전라남도,154.0,154kV,PQ,4,호남,14,0.9922,7.0379,1.05,0.95,1,35.03893,127.44185
70206,순천T2_D23,전라남도,22.9,22.9kV,PQ,4,호남,14,1.00577,3.9279,1.05,0.95,1,35.03893,127.44185
40256,비아_154,광주광역시,154.0,154kV,PQ,4,호남,5,1.00049,8.3098,1.05,0.95,1,35.21314,126.85127
70207,비아_D23,광주광역시,22.9,22.9kV,PQ,4,호남,5,1.00368,5.1063,1.05,0.95,1,35.21314,126.85127
40257,목포_154,전라남도,154.0,154kV,PQ,4,호남,14,1.00225,14.8597,1.05,0.95,1,34.81946,126.4184
70208,목포_D23,전라남도,22.9,22.9kV,PQ,4,호남,14,0.99882,10.6322,1.05,0.95,1,34.81946,126.4184
40258,화정_154,광주광역시,154.0,154kV,PQ,4,호남,5,1.00502,11.8536,1.05,0.95,1,35.15243,126.88311
70209,화정_D23,광주광역시,22.9,22.9kV,PQ,4,호남,5,0.99726,8.3219,1.05,0.95,1,35.15243,126.88311
40259,시흥_154,서울특별시,154.0,154kV,PQ,1,수도권,1,1.00043,-29.0722,1.05,0.95,1,37.4499,126.89718
70210,시흥_D23,서울특별시,22.9,22.9kV,PQ,1,수도권,1,1.00344,-32.3416,1.05,0.95,1,37.4499,126.89718
40260,영동_154,경상북도,154.0,154kV,PQ,5,영남,15,0.99256,-12.7135,1.05,0.95,1,36.25397,127.83372
70211,영동_D23,경상북도,22.9,22.9kV,PQ,5,영남,15,1.00235,-16.5512,1.05,0.95,1,36.25397,127.83372
40261,온수_154,인천광역시,154.0,154kV,PQ,1,수도권,4,1.00144,-29.1307,1.05,0.95,1,37.49103,126.82377
70212,온수_D23,인천광역시,22.9,22.9kV,PQ,1,수도권,4,0.99684,-31.4287,1.05,0.95,1,37.49103,126.82377
40262,영암_154,전라남도,154.0,154kV,PQ,4,호남,14,1.00295,13.4092,1.05,0.95,1,34.83419,126.68281
70213,영암_D23,전라남도,22.9,22.9kV,PQ,4,호남,14,1.00578,10.069,1.05,0.95,1,34.83419,126.68281
40263,강진_154,전라남도,154.0,154kV,PQ,4,호남,14,1.01148,13.1609,1.05,0.95,1,34.64555,126.75498
70214,강진_D23,전라남도,22.9,22.9kV,PQ,4,호남,14,0.99602,8.6885,1.05,0.95,1,34.64555,126.75498
40264,효목_154,대구광역시,154.0,154kV,PQ,5,영남,3,1.00656,-1.9992,1.05,0.95,1,35.87513,128.64149
70215,효목_D23,대구광역시,22.9,22.9kV,PQ,5,영남,3,1.0015,-4.4798,1.05,0.95,1,35.87513,128.64149
20053,동울산_345,울산광역시,345.0,345kV,PQ,5,영남,7,1.02591,6.4608,1.05,0.95,1,35.6512,129.39284
