Type,id,location,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--transformation_rate,transforms--electricity_consumption,transforms--electricity_production,transforms--co2_content,transforms--emission_rate,transforms--capture_rate,edges--origin_edge--commodity,edges--origin_edge--has_capacity,edges--origin_edge--can_expand,edges--origin_edge--start_vertex,edges--origin_edge--investment_cost,edges--origin_edge--fixed_om_cost,edges--origin_edge--variable_om_cost,edges--general_edge--commodity,edges--general_edge--end_vertex,edges--elec_consumption_edge--commodity,edges--elec_consumption_edge--start_vertex,edges--elec_production_edge--commodity,edges--elec_production_edge--end_vertex,edges--co2_edge--commodity,edges--co2_edge--start_vertex,edges--co2_emission_edge--commodity,edges--co2_emission_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--end_vertex
BiomassTransformation,BR_SC_cornstover_trans,BR_SC,Biomass,TRUE,1,0,0,1.558,0,0,CornStover,TRUE,TRUE,cornstover_BR_SC,0,0,0,Residue,residue_BR_SC,Electricity,elec_BR_SC,Electricity,elec_BR_SC,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_SC
BiomassTransformation,BR_SP_cornstover_trans,BR_SP,Biomass,TRUE,1,0,0,1.558,0,0,CornStover,TRUE,TRUE,cornstover_BR_SP,0,0,0,Residue,residue_BR_SP,Electricity,elec_BR_SP,Electricity,elec_BR_SP,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_SP
BiomassTransformation,BR_SE_cornstover_trans,BR_SE,Biomass,TRUE,1,0,0,1.558,0,0,CornStover,TRUE,TRUE,cornstover_BR_SE,0,0,0,Residue,residue_BR_SE,Electricity,elec_BR_SE,Electricity,elec_BR_SE,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_SE
BiomassTransformation,BR_TO_cornstover_trans,BR_TO,Biomass,TRUE,1,0,0,1.558,0,0,CornStover,TRUE,TRUE,cornstover_BR_TO,0,0,0,Residue,residue_BR_TO,Electricity,elec_BR_TO,Electricity,elec_BR_TO,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_TO
BiomassTransformation,BR_AC_sugarcanestraw_trans,BR_AC,Biomass,TRUE,1,0,0,1.558,0,0,SugarcaneStraw,TRUE,TRUE,sugarcanestraw_BR_AC,0,0,0,Residue,residue_BR_AC,Electricity,elec_BR_AC,Electricity,elec_BR_AC,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_AC
BiomassTransformation,BR_AL_sugarcanestraw_trans,BR_AL,Biomass,TRUE,1,0,0,1.558,0,0,SugarcaneStraw,TRUE,TRUE,sugarcanestraw_BR_AL,0,0,0,Residue,residue_BR_AL,Electricity,elec_BR_AL,Electricity,elec_BR_AL,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_AL
BiomassTransformation,BR_AP_sugarcanestraw_trans,BR_AP,Biomass,TRUE,1,0,0,1.558,0,0,SugarcaneStraw,TRUE,TRUE,sugarcanestraw_BR_AP,0,0,0,Residue,residue_BR_AP,Electricity,elec_BR_AP,Electricity,elec_BR_AP,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_AP
BiomassTransformation,BR_AM_sugarcanestraw_trans,BR_AM,Biomass,TRUE,1,0,0,1.558,0,0,SugarcaneStraw,TRUE,TRUE,sugarcanestraw_BR_AM,0,0,0,Residue,residue_BR_AM,Electricity,elec_BR_AM,Electricity,elec_BR_AM,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_AM
BiomassTransformation,BR_BA_sugarcanestraw_trans,BR_BA,Biomass,TRUE,1,0,0,1.558,0,0,SugarcaneStraw,TRUE,TRUE,sugarcanestraw_BR_BA,0,0,0,Residue,residue_BR_BA,Electricity,elec_BR_BA,Electricity,elec_BR_BA,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_BA
BiomassTransformation,BR_CE_sugarcanestraw_trans,BR_CE,Biomass,TRUE,1,0,0,1.558,0,0,SugarcaneStraw,TRUE,TRUE,sugarcanestraw_BR_CE,0,0,0,Residue,residue_BR_CE,Electricity,elec_BR_CE,Electricity,elec_BR_CE,CO2,co2_emitted_BR,CO2,co2_emitted_BR,CO2Captured,co2_captured_BR_CE
