Time_Index,KR_nuclear,KR_utilitypv,onwind,offwind-ac,offwind-dc,availability_one,SEL_solar,SEL_onwind,SEL_offwind-dc,PUS_solar,PUS_onwind,PUS_offwind-dc,TAE_solar,TAE_onwind,TAE_offwind-dc,INC_solar,INC_onwind,INC_offwind-dc,KWJ_solar,KWJ_onwind,KWJ_offwind-dc,DJJ_solar,DJJ_onwind,DJJ_offwind-dc,USN_solar,USN_onwind,USN_offwind-dc,SJG_solar,SJG_onwind,SJG_offwind-dc,GGI_solar,GGI_onwind,GGI_offwind-dc,GWN_solar,GWN_onwind,GWN_offwind-dc,CNB_solar,CNB_onwind,CNB_offwind-dc,CNA_solar,CNA_onwind,CNA_offwind-dc,JNB_solar,JNB_onwind,JNB_offwind-dc,JNA_solar,JNA_onwind,JNA_offwind-dc,GNB_solar,GNB_onwind,GNB_offwind-dc,GNA_solar,GNA_onwind,GNA_offwind-dc,JEJ_solar,JEJ_onwind,JEJ_offwind-dc
21,0.85,0,0.113762533,0.072459176,0.057124373,1,0,0.071362959,0,0,0.050695646,0,0,0.138464634,0.8855,0,0.50164765,0.480160274,0,0.040139357,0,0,0.032400215,0,0,0.052916179,0,0,0.068438549,0,0,0.053716126,0,0,0.138551806,0,0,0.064848726,0,0,0.14002379,0.311041606,0,0.021761633,0,0,0.137059112,0.411698543,0,0.138464634,0.8855,0,0.013455259,0.205089037,0,0.555809305,0.385731362
22,0.85,0,0.108174263,0.072075922,0.055541277,1,0,0.051540624,0,0,0.057430211,0,0,0.14460724,0.8855,0,0.424980193,0.407190045,0,0.052501256,0,0,0.02907116,0,0,0.069694506,0,0,0.061900891,0,0,0.034616123,0,0,0.094218224,0,0,0.056555875,0,0,0.118781877,0.278810653,0,0.026531149,0,0,0.135848887,0.397096016,0,0.14460724,0.8855,0,0.016793517,0.261542509,0,0.515910793,0.328964547
23,0.85,0,0.106607708,0.072460935,0.054857908,1,0,0.016673063,0,0,0.040657993,0,0,0.095161349,0.8855,0,0.29293302,0.268322668,0,0.060990751,0,0,0,0,0,0.035683113,0,0,0.027921533,0,0,0,0,0,0.034775403,0,0,0.0162782,0,0,0.088724873,0.303812758,0,0.022633547,0,0,0.089120009,0.322697268,0,0.095161349,0.8855,0,0.014336764,0.250981982,0,0.346407108,0.307657677
24,0.85,0,0.115186239,0.067670296,0.051189746,1,0,0.029490324,0,0,0.020499753,0,0,0.091948249,0.879993693,0,0.208692725,0.183189421,0,0.076253683,0,0,0,0,0,0.029830027,0,0,0.013879402,0,0,0.013797854,0,0,0.032180453,0,0,0.027338201,0,0,0.064646239,0.244153684,0,0.027386069,0,0,0.063845629,0.269195362,0,0.091948249,0.879993693,0,0,0.147082076,0,0.363398977,0.277347591
25,0.85,0,0.110872474,0.066309722,0.046640255,1,0.151161937,0.0221981,0,0.165645611,0.027894112,0,0.176160295,0.110799651,0.864209505,0.139386252,0.174467664,0.146216631,0.126943211,0.078596398,0,0.142894348,0,0,0.182508485,0.047162562,0,0.142089141,0,0,0.150503394,0.011242026,0,0.172913464,0.034066015,0,0.161551282,0.023819895,0,0.116445222,0.056444881,0.198789682,0.12300072,0.023883855,0,0.112456003,0.046043212,0.212308343,0.176160295,0.110799651,0.864209505,0.162720397,0,0.108275219,0.025193117,0.380934169,0.248147504
26,0.85,0,0.105303605,0.068344027,0.049009417,1,0.356556504,0.037706753,0,0.368005227,0.047168948,0,0.371203045,0.137437738,0.792909596,0.340600463,0.216012419,0.176120533,0.310858681,0.039264568,0,0.289932991,0,0,0.374984616,0.073245108,0,0.297692207,0.0137028,0,0.342317042,0.027448229,0,0.38129483,0.038844177,0,0.342954147,0.040098012,0,0.264014353,0.062388222,0.208069375,0.311281372,0.011255108,0,0.270351971,0.029530301,0.158716313,0.371203045,0.137437738,0.792909596,0.363302939,0,0.075711709,0.10445902,0.429254114,0.232955228
27,0.85,0,0.096125693,0.064271874,0.054205858,1,0.506545219,0.080996994,0,0.495924853,0.058895034,0,0.514388183,0.189805061,0.478198026,0.48726813,0.252515446,0.204245103,0.471001858,0.040953838,0,0.441483063,0.032260424,0,0.510940051,0.096125522,0,0.452271584,0.067519823,0,0.497109484,0.080364675,0,0.522138463,0.09414219,0,0.498650152,0.105991245,0,0.401896749,0.099744412,0.224095735,0.442057292,0.026745898,0,0.423969151,0.046251833,0.161261687,0.514388183,0.189805061,0.478198026,0.503754058,0.023844248,0.050734472,0.186371294,0.399292444,0.237984569
28,0.85,0,0.09696005,0.057899308,0.064791551,1,0.600381714,0.140075099,0,0.567667639,0.089255336,0,0.599882073,0.308026523,0.235004553,0.574361827,0.321203103,0.252666689,0.533720848,0.093012155,0,0.509211788,0.108906206,0,0.590621083,0.149163449,0,0.531500687,0.147341321,0,0.595501456,0.135892736,0,0.611523275,0.151886444,0,0.588767666,0.223209246,0,0.473619985,0.165253112,0.258608598,0.47347159,0.106179782,0,0.5230173,0.10787896,0.203904193,0.599882073,0.308026523,0.235004553,0.58416256,0.092609877,0.065880092,0.261684303,0.50436207,0.291014815
29,0.85,0,0.093013333,0.051885129,0.071463781,1,0.631978426,0.210962958,0,0.607858591,0.164715566,0,0.620820308,0.422700821,0.138946195,0.620721604,0.434812238,0.328359421,0.51887802,0.143801093,0,0.509556562,0.225413174,0,0.618247517,0.264639909,0,0.544744787,0.320393897,0,0.635933915,0.191216826,0,0.640061064,0.196572568,0,0.616154955,0.347217467,0,0.48283039,0.307679451,0.349668432,0.436477522,0.168949768,0,0.518651627,0.214296814,0.270271519,0.620820308,0.422700821,0.138946195,0.610454012,0.187196437,0.154482123,0.195360899,0.567535458,0.327785213
30,0.85,0,0.036092427,0.042969908,0.085465152,1,0.602910972,0.232411356,0,0.54004241,0.230542452,0,0.602987026,0.469462026,0.09660109,0.584616218,0.497300444,0.380761731,0.465680916,0.180747248,0,0.517329584,0.322949591,0,0.585375679,0.351704002,0,0.52849402,0.363513979,0,0.600117473,0.214649709,0,0.609275085,0.222178663,0,0.595644529,0.40425594,0,0.449165971,0.373118539,0.415853465,0.388617898,0.247571616,0,0.498780889,0.294686604,0.368747279,0.602987026,0.469462026,0.09660109,0.574349395,0.244866593,0.274199887,0.275847589,0.550374678,0.381555865
