bus,name,region,base_kv,volt_class,type,area,area_name,zone,vm_pu,va_deg,vmax_pu,vmin_pu,in_service,lat,lon
20016,신경산_345,대구광역시,345.0,345kV,PQ,5,영남,3,1.03527,-9.2528,1.05,0.95,1,35.87204,128.83479
40092,신경산_154,대구광역시,154.0,154kV,PQ,5,영남,3,1.00224,-12.2409,1.05,0.95,1,35.87204,128.83479
60016,신경산_T23,대구광역시,23.0,23kV,PQ,5,영남,3,1.03876,-10.5274,1.05,0.95,1,35.87204,128.83479
20017,고령_345,대구광역시,345.0,345kV,PQ,5,영남,3,1.02868,-7.6472,1.05,0.95,1,35.73368,128.40517
40093,고령_154,대구광역시,154.0,154kV,PQ,5,영남,3,1.00082,-10.6408,1.05,0.95,1,35.73368,128.40517
60017,고령_T23,대구광역시,23.0,23kV,PQ,5,영남,3,1.02978,-8.921,1.05,0.95,1,35.73368,128.40517
20018,서대구_345,경상북도,345.0,345kV,PQ,5,영남,15,1.0312,-9.4005,1.05,0.95,1,35.97082,128.40617
40094,서대구_154,경상북도,154.0,154kV,PQ,5,영남,15,1.00292,-13.006,1.05,0.95,1,35.97082,128.40617
60018,서대구_T23,경상북도,23.0,23kV,PQ,5,영남,15,1.03202,-10.9344,1.05,0.95,1,35.97082,128.40617
20019,안성_345,경기도,345.0,345kV,PQ,1,수도권,9,0.97951,-21.4796,1.05,0.95,1,37.02074,127.24489
40095,안성_154,경기도,154.0,154kV,PQ,1,수도권,9,0.99642,-22.9755,1.05,0.95,1,37.02074,127.24489
60019,안성_T23,경기도,23.0,23kV,PQ,1,수도권,9,0.97837,-22.1146,1.05,0.95,1,37.02074,127.24489
40096,영천_154,경상북도,154.0,154kV,PQ,5,영남,15,1.0037,-12.5722,1.05,0.95,1,35.98743,128.96319
70077,영천_D23,경상북도,22.9,22.9kV,PQ,5,영남,15,1.00486,-16.2368,1.05,0.95,1,35.98743,128.96319
40097,진천_154,충청북도,154.0,154kV,PQ,3,충청,11,0.99374,-22.333,1.05,0.95,1,36.88045,127.4459
70078,진천_D23,충청북도,22.9,22.9kV,PQ,3,충청,11,0.9963,-25.7624,1.05,0.95,1,36.88045,127.4459
20020,청원_345,충청북도,345.0,345kV,PQ,3,충청,11,0.98011,-15.5331,1.05,0.95,1,36.55358,127.46079
40098,청원_154,충청북도,154.0,154kV,PQ,3,충청,11,0.99458,-19.7569,1.05,0.95,1,36.55358,127.46079
60020,청원_T23,충청북도,23.0,23kV,PQ,3,충청,11,0.97347,-17.3144,1.05,0.95,1,36.55358,127.46079
20021,신광주_345,광주광역시,345.0,345kV,PQ,4,호남,5,1.02504,6.7436,1.05,0.95,1,35.20856,126.9342
40099,신광주_154,광주광역시,154.0,154kV,PQ,4,호남,5,1.00225,3.23,1.05,0.95,1,35.20856,126.9342
