Time_Index,Demand_MW,Demand_MW_25,Demand_MW_30,Demand_MW_35,Demand_heat,Demand_Zero,,,,,,,,,
154,85103.24848,87057.24366,93354.47094,100036.4361,8700,0,,,,,,,,,
155,86046.91146,88022.57341,94389.62715,101145.6849,8700,0,,,,,,,,,
156,85301.76295,87260.31607,93572.23246,100269.7842,8700,0,,,,,,,,,
157,82141.83458,84027.83484,90105.93185,96555.37866,8700,0,,,,,,,,,
158,84224.79799,86158.6237,92390.84986,99003.84263,8700,0,,,,,,,,,
159,84939.25827,86889.48819,93174.58098,99843.67024,8700,0,,,,,,,,,
160,85151.19884,87106.29497,93407.07038,100092.8003,8700,0,,,,,,,,,
161,86497.6448,88483.65573,94884.06153,101675.509,8700,0,,,,,,,,,
162,84961.31543,86912.05179,93198.77671,99869.5978,8700,0,,,,,,,,,
163,82162.93273,84049.41742,90129.07558,96580.17893,8700,0,,,,,,,,,
164,78737.3594,80545.19192,86371.37431,92553.51539,8700,0,,,,,,,,,
165,75538.11173,77272.48861,82861.94219,88792.8912,8700,0,,,,,,,,,
166,72054.99797,73709.40154,79041.12162,84698.59054,8700,0,,,,,,,,,
167,71124.76109,72757.80615,78020.69322,83605.12368,8700,0,,,,,,,,,
168,72514.36237,74179.31309,79545.02388,85238.56025,8700,0,,,,,,,,,
169,70089.99243,71699.27891,76885.59812,82388.7827,8700,0,,,,,,,,,
170,68051.14335,69613.61727,74649.07153,79992.17387,8700,0,,,,,,,,,
171,67002.9486,68541.35567,73499.2486,78760.05091,8700,0,,,,,,,,,
172,66308.62746,67831.09271,72737.60925,77943.89625,8700,0,,,,,,,,,
173,66306.70945,67829.13066,72735.50529,77941.6417,8700,0,,,,,,,,,
174,67545.74662,69096.61648,74094.67384,79398.09446,8700,0,,,,,,,,,
175,70184.93414,71796.40051,76989.74494,82500.38395,8700,0,,,,,,,,,
176,75191.91017,76918.33816,82482.1745,88385.94113,8700,0,,,,,,,,,
177,83047.13727,84953.92355,91099.00857,97619.53608,8700,0,,,,,,,,,
178,85836.88891,87807.72869,94159.24175,100898.8094,8700,0,,,,,,,,,
