Time_Index,natgas_fossil_SE,natgas_fossil_MIDAT,natgas_fossil_NE,uranium_source
1715,14.05803,13.68269,16.82186,2.79796
1716,14.05803,13.68269,16.82186,2.79796
1717,14.05803,13.68269,16.82186,2.79796
1718,14.05803,13.68269,16.82186,2.79796
1719,14.05803,13.68269,16.82186,2.79796
1720,14.05803,13.68269,16.82186,2.79796
1721,14.05803,13.68269,16.82186,2.79796
1722,14.05803,13.68269,16.82186,2.79796
1723,14.05803,13.68269,16.82186,2.79796
1724,14.05803,13.68269,16.82186,2.79796
1725,14.05803,13.68269,16.82186,2.79796
1726,14.05803,13.68269,16.82186,2.79796
1727,14.05803,13.68269,16.82186,2.79796
1728,14.05803,13.68269,16.82186,2.79796
1729,14.05803,13.68269,16.82186,2.79796
1730,14.05803,13.68269,16.82186,2.79796
1731,14.05803,13.68269,16.82186,2.79796
1732,14.05803,13.68269,16.82186,2.79796
1733,14.05803,13.68269,16.82186,2.79796
1734,14.05803,13.68269,16.82186,2.79796
1735,14.05803,13.68269,16.82186,2.79796
1736,14.05803,13.68269,16.82186,2.79796
1737,14.05803,13.68269,16.82186,2.79796
1738,14.05803,13.68269,16.82186,2.79796
1739,14.05803,13.68269,16.82186,2.79796
1740,14.05803,13.68269,16.82186,2.79796
1741,14.05803,13.68269,16.82186,2.79796
1742,14.05803,13.68269,16.82186,2.79796
1743,14.05803,13.68269,16.82186,2.79796
1744,14.05803,13.68269,16.82186,2.79796
1745,14.05803,13.68269,16.82186,2.79796
1746,14.05803,13.68269,16.82186,2.79796
1747,14.05803,13.68269,16.82186,2.79796
1748,14.05803,13.68269,16.82186,2.79796
1749,14.05803,13.68269,16.82186,2.79796
1750,14.05803,13.68269,16.82186,2.79796
1751,14.05803,13.68269,16.82186,2.79796
1752,14.05803,13.68269,16.82186,2.79796
1753,14.05803,13.68269,16.82186,2.79796
1754,14.05803,13.68269,16.82186,2.79796
1755,14.05803,13.68269,16.82186,2.79796
1756,14.05803,13.68269,16.82186,2.79796
1757,14.05803,13.68269,16.82186,2.79796
1758,14.05803,13.68269,16.82186,2.79796
1759,14.05803,13.68269,16.82186,2.79796
1760,14.05803,13.68269,16.82186,2.79796
1761,14.05803,13.68269,16.82186,2.79796
1762,14.05803,13.68269,16.82186,2.79796
1763,14.05803,13.68269,16.82186,2.79796
1764,14.05803,13.68269,16.82186,2.79796
1765,14.05803,13.68269,16.82186,2.79796
1766,14.05803,13.68269,16.82186,2.79796
1767,14.05803,13.68269,16.82186,2.79796
1768,14.05803,13.68269,16.82186,2.79796
1769,14.05803,13.68269,16.82186,2.79796
1770,14.05803,13.68269,16.82186,2.79796
1771,14.05803,13.68269,16.82186,2.79796
1772,14.05803,13.68269,16.82186,2.79796
1773,14.05803,13.68269,16.82186,2.79796
1774,14.05803,13.68269,16.82186,2.79796
1775,14.05803,13.68269,16.82186,2.79796
1776,14.05803,13.68269,16.82186,2.79796
1777,14.05803,13.68269,16.82186,2.79796
1778,14.05803,13.68269,16.82186,2.79796
1779,14.05803,13.68269,16.82186,2.79796
1780,14.05803,13.68269,16.82186,2.79796
1781,14.05803,13.68269,16.82186,2.79796
1782,14.05803,13.68269,16.82186,2.79796
1783,14.05803,13.68269,16.82186,2.79796
1784,14.05803,13.68269,16.82186,2.79796
1785,14.05803,13.68269,16.82186,2.79796
1786,14.05803,13.68269,16.82186,2.79796
1787,14.05803,13.68269,16.82186,2.79796
1788,14.05803,13.68269,16.82186,2.79796
1789,14.05803,13.68269,16.82186,2.79796
1790,14.05803,13.68269,16.82186,2.79796
1791,14.05803,13.68269,16.82186,2.79796
1792,14.05803,13.68269,16.82186,2.79796
1793,14.05803,13.68269,16.82186,2.79796
1794,14.05803,13.68269,16.82186,2.79796
1795,14.05803,13.68269,16.82186,2.79796
1796,14.05803,13.68269,16.82186,2.79796
1797,14.05803,13.68269,16.82186,2.79796
1798,14.05803,13.68269,16.82186,2.79796
1799,14.05803,13.68269,16.82186,2.79796
1800,14.05803,13.68269,16.82186,2.79796
1801,14.05803,13.68269,16.82186,2.79796
1802,14.05803,13.68269,16.82186,2.79796
1803,14.05803,13.68269,16.82186,2.79796
1804,14.05803,13.68269,16.82186,2.79796
1805,14.05803,13.68269,16.82186,2.79796
1806,14.05803,13.68269,16.82186,2.79796
1807,14.05803,13.68269,16.82186,2.79796
1808,14.05803,13.68269,16.82186,2.79796
1809,14.05803,13.68269,16.82186,2.79796
1810,14.05803,13.68269,16.82186,2.79796
1811,14.05803,13.68269,16.82186,2.79796
1812,14.05803,13.68269,16.82186,2.79796
1813,14.05803,13.68269,16.82186,2.79796
1814,14.05803,13.68269,16.82186,2.79796
1815,14.05803,13.68269,16.82186,2.79796
1816,14.05803,13.68269,16.82186,2.79796
1817,14.05803,13.68269,16.82186,2.79796
1818,14.05803,13.68269,16.82186,2.79796
1819,14.05803,13.68269,16.82186,2.79796
1820,14.05803,13.68269,16.82186,2.79796
1821,14.05803,13.68269,16.82186,2.79796
1822,14.05803,13.68269,16.82186,2.79796
1823,14.05803,13.68269,16.82186,2.79796
1824,14.05803,13.68269,16.82186,2.79796
1825,14.05803,13.68269,16.82186,2.79796
1826,14.05803,13.68269,16.82186,2.79796
1827,14.05803,13.68269,16.82186,2.79796
1828,14.05803,13.68269,16.82186,2.79796
1829,14.05803,13.68269,16.82186,2.79796
1830,14.05803,13.68269,16.82186,2.79796
1831,14.05803,13.68269,16.82186,2.79796
1832,14.05803,13.68269,16.82186,2.79796
1833,14.05803,13.68269,16.82186,2.79796
1834,14.05803,13.68269,16.82186,2.79796
1835,14.05803,13.68269,16.82186,2.79796
1836,14.05803,13.68269,16.82186,2.79796
1837,14.05803,13.68269,16.82186,2.79796
1838,14.05803,13.68269,16.82186,2.79796
1839,14.05803,13.68269,16.82186,2.79796
1840,14.05803,13.68269,16.82186,2.79796
1841,14.05803,13.68269,16.82186,2.79796
1842,14.05803,13.68269,16.82186,2.79796
1843,14.05803,13.68269,16.82186,2.79796
1844,14.05803,13.68269,16.82186,2.79796
1845,14.05803,13.68269,16.82186,2.79796
1846,14.05803,13.68269,16.82186,2.79796
1847,14.05803,13.68269,16.82186,2.79796
1848,14.05803,13.68269,16.82186,2.79796
1849,14.05803,13.68269,16.82186,2.79796
1850,14.05803,13.68269,16.82186,2.79796
1851,14.05803,13.68269,16.82186,2.79796
1852,14.05803,13.68269,16.82186,2.79796
1853,14.05803,13.68269,16.82186,2.79796
1854,14.05803,13.68269,16.82186,2.79796
1855,14.05803,13.68269,16.82186,2.79796
1856,14.05803,13.68269,16.82186,2.79796
1857,14.05803,13.68269,16.82186,2.79796
1858,14.05803,13.68269,16.82186,2.79796
1859,14.05803,13.68269,16.82186,2.79796
1860,14.05803,13.68269,16.82186,2.79796
1861,14.05803,13.68269,16.82186,2.79796
1862,14.05803,13.68269,16.82186,2.79796
1863,14.05803,13.68269,16.82186,2.79796
1864,14.05803,13.68269,16.82186,2.79796
1865,14.05803,13.68269,16.82186,2.79796
1866,14.05803,13.68269,16.82186,2.79796
1867,14.05803,13.68269,16.82186,2.79796
1868,14.05803,13.68269,16.82186,2.79796
1869,14.05803,13.68269,16.82186,2.79796
1870,14.05803,13.68269,16.82186,2.79796
1871,14.05803,13.68269,16.82186,2.79796
1872,14.05803,13.68269,16.82186,2.79796
1873,14.05803,13.68269,16.82186,2.79796
1874,14.05803,13.68269,16.82186,2.79796
1875,14.05803,13.68269,16.82186,2.79796
1876,14.05803,13.68269,16.82186,2.79796
