Time_Index,Availability_One,res_basin_N,ror_basin_N,res_basin_NE,ror_basin_NE,res_basin_S,ror_basin_S,res_basin_SE,ror_basin_SE,wind_0_MW,wind_0_N,wind_0_NE,wind_0_S,wind_0_SE,wind_1_MW,wind_1_N,wind_1_NE,wind_1_S,wind_1_SE,wind_2_MW,wind_2_N,wind_2_NE,wind_2_SE,solar_pv_0_MW,solar_pv_0_N,solar_pv_0_NE,solar_pv_0_SE,solar_pv_1_MW,solar_pv_1_N,solar_pv_1_NE,solar_pv_1_S,solar_pv_1_SE,solar_pv_2_MW,solar_pv_2_N,solar_pv_2_NE,solar_pv_2_S,solar_pv_2_SE
27,1,0.917241706,0.164382664,0.850910045,0.708908152,0.595691218,0.241532768,1.322446155,1.0,0.115705562,0.022998404,0.245156919,0.247748358,0.116245869,0.066536205,0.014845896,0.171245045,0.29697871,0.137706777,0.05971055,0.033394497,0.038571981,0.006640166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1,0.917241706,0.164382664,0.850910045,0.708908152,0.595691218,0.241532768,1.322446155,1.0,0.118631992,0.02427309,0.192687269,0.235167743,0.102159228,0.078579125,0.01329699,0.140390664,0.33732916,0.128557666,0.070319261,0.029449891,0.033241908,0.004250932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1,0.917241706,0.164382664,0.850910045,0.708908152,0.595691218,0.241532768,1.322446155,1.0,0.110929592,0.027885406,0.15800858,0.224315059,0.079251261,0.093208671,0.013643725,0.11802625,0.376910904,0.118631904,0.070899109,0.026453689,0.031938164,0.00572588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1,0.917241706,0.164382664,0.850910045,0.708908152,0.595691218,0.241532768,1.322446155,1.0,0.095112363,0.025864658,0.130446616,0.208904876,0.06764859,0.097513792,0.013438679,0.097481797,0.388089657,0.11216226,0.061669409,0.0245967,0.026611171,0.008582195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1,0.917241706,0.164382664,0.850910045,0.708908152,0.595691218,0.241532768,1.322446155,1.0,0.085574733,0.023339267,0.109883099,0.195075868,0.056713538,0.100265096,0.011063979,0.083715709,0.389412139,0.099423881,0.050742179,0.022965795,0.022009662,0.007780538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1,0.917241706,0.164382664,0.850910045,0.708908152,0.595691218,0.241532768,1.322446155,1.0,0.075721184,0.02688977,0.099583134,0.182626724,0.057128263,0.100231441,0.010213143,0.067505197,0.353230493,0.091722688,0.043558565,0.022470745,0.017053986,0.004018219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1,0.917241706,0.164382664,0.850910045,0.708908152,0.595691218,0.241532768,1.322446155,1.0,0.068436125,0.027729325,0.093143535,0.172374078,0.053666272,0.098815191,0.012143249,0.056314164,0.308245862,0.085282295,0.037061227,0.023349943,0.011838225,0.002159834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1,0.917241706,0.164382664,0.850910045,0.708908152,0.595691218,0.241532768,1.322446155,1.0,0.066488063,0.024642608,0.088694999,0.155866947,0.047623093,0.097750814,0.011938567,0.050905479,0.272723498,0.079475261,0.036348809,0.022975565,0.008821437,0.000550725,0.043165335,0.024308469,0.258186667,0.02387,0.0548676,0.069780571,0.44129225,0.3147095,0.19978103,0.029346184,0.046158455,0.421809281,0.323383523,0.097137162
35,1,0.917241706,0.164382664,0.850910045,0.708908152,0.595691218,0.241532768,1.322446155,1.0,0.087152241,0.023183455,0.123004746,0.140134299,0.042292369,0.128518414,0.013645168,0.04716136,0.265287738,0.084622762,0.04459186,0.025766922,0.007168116,0.000724638,0.250351995,0.084474169,0.432765,0.397655,0.215507915,0.225637353,0.675218119,0.703942846,0.352807564,0.236192614,0.172590961,0.633666724,0.598832882,0.228007988
36,1,0.917241706,0.164382664,0.850910045,0.708908152,0.595691218,0.241532768,1.322446155,1.0,0.071075108,0.024123675,0.144201411,0.083897937,0.033280643,0.11958586,0.01871701,0.056195728,0.171216898,0.06832757,0.030718784,0.023917299,0.014403684,0.000202899,0.377878243,0.218386662,0.4838475,0.681465,0.330232499,0.341541263,0.768712668,0.853944103,0.464729606,0.356308179,0.276377305,0.749815372,0.786432464,0.319201304
37,1,0.917241706,0.164382664,0.850910045,0.708908152,0.595691218,0.241532768,1.322446155,1.0,0.09230588,0.018809754,0.139428071,0.05946556,0.027400661,0.122498024,0.018983477,0.051785562,0.125079497,0.07290054,0.042748857,0.022155096,0.022152415,0.0,0.497085471,0.315869691,0.586615833,0.73393,0.436619142,0.366473459,0.825261123,0.910876487,0.554983358,0.464580229,0.337244565,0.803768641,0.87137697,0.424719782
38,1,0.917241706,0.164382664,0.850910045,0.708908152,0.595691218,0.241532768,1.322446155,1.0,0.088161708,0.013341738,0.129274645,0.042696387,0.017511053,0.10035087,0.008083295,0.04519802,0.082769677,0.050823262,0.03360925,0.018342594,0.023689251,0.000898551,0.556606709,0.392257101,0.657864167,0.754385,0.48140978,0.421036226,0.791288133,0.915946974,0.55646263,0.496583659,0.425949043,0.820637476,0.871685131,0.470447688
39,1,0.917241706,0.164382664,0.850910045,0.708908152,0.595691218,0.241532768,1.322446155,1.0,0.072353985,0.01400601,0.123881543,0.033520861,0.012062047,0.082028389,0.002544165,0.041357665,0.053999453,0.02851671,0.025725601,0.016152993,0.034371256,0.000434783,0.572514555,0.443017064,0.68038,0.824385,0.525423203,0.484316274,0.799559371,0.90329159,0.506696715,0.538195245,0.479523824,0.807176392,0.853707755,0.503366617
40,1,0.917241706,0.164382664,0.850910045,0.708908152,0.595691218,0.241532768,1.322446155,1.0,0.052276196,0.021911646,0.125677002,0.025987545,0.011633268,0.067021887,0.003998134,0.041234633,0.034483414,0.014840167,0.019683427,0.015138689,0.037888043,0.0,0.550315158,0.491812684,0.70271,0.78117,0.539715263,0.478268113,0.78749231,0.872966782,0.522743473,0.526698671,0.533607903,0.805860531,0.835198653,0.493480776
41,1,0.917241706,0.164382664,0.850910045,0.708908152,0.595691218,0.241532768,1.322446155,1.0,0.035120336,0.021092244,0.12972922,0.024143238,0.017294563,0.048929771,0.002637963,0.037371793,0.022309262,0.009815696,0.016483393,0.017468434,0.036820833,0.0,0.605094739,0.481908177,0.694368333,0.789,0.550415472,0.48771968,0.783378186,0.835997603,0.499625776,0.53580081,0.526348523,0.797481306,0.802827854,0.491510353
42,1,0.917241706,0.164382664,0.850910045,0.708908152,0.595691218,0.241532768,1.322446155,1.0,0.020633978,0.019245225,0.143747745,0.029298539,0.023755105,0.040610345,0.00199236,0.038701476,0.015942963,0.008001466,0.013495769,0.015323022,0.031841727,0.002,0.545757194,0.484301543,0.720990833,0.75612,0.53970812,0.494885629,0.757701807,0.818968603,0.480861509,0.520480981,0.525983229,0.770568455,0.780382251,0.437160533
43,1,0.917241706,0.164382664,0.850910045,0.708908152,0.595691218,0.241532768,1.322446155,1.0,0.013672513,0.022505575,0.165347989,0.042443451,0.034556643,0.039821439,0.001449768,0.044773446,0.012290573,0.0074126,0.017294829,0.013847104,0.028466667,0.005181781,0.452715911,0.425768055,0.619603333,0.64421,0.489689147,0.480808391,0.670190353,0.795113808,0.525456212,0.459037678,0.502245212,0.663978833,0.728625901,0.411396758
44,1,0.917241706,0.164382664,0.850910045,0.708908152,0.595691218,0.241532768,1.322446155,1.0,0.012438347,0.026154263,0.208867131,0.059983206,0.050391326,0.037179761,0.002395376,0.053015499,0.011659383,0.008504715,0.012033209,0.012969838,0.029782005,0.006071222,0.364549611,0.397437861,0.606240833,0.59697,0.380520596,0.416209361,0.606694663,0.757967872,0.428371491,0.377790762,0.43052195,0.565849287,0.684158742,0.307908308
45,1,0.917241706,0.164382664,0.850910045,0.708908152,0.595691218,0.241532768,1.322446155,1.0,0.010881774,0.037117318,0.283323607,0.078314135,0.065838738,0.032234451,0.00491586,0.06228498,0.014279862,0.015050388,0.007960791,0.013568714,0.031480737,0.0,0.209272245,0.25432313,0.325458333,0.12339,0.259334809,0.228858831,0.34609941,0.625230462,0.279738394,0.270216184,0.28144177,0.339595922,0.583171789,0.189302261
46,1,0.917241706,0.164382664,0.850910045,0.708908152,0.595691218,0.241532768,1.322446155,1.0,0.012661828,0.049156746,0.35102318,0.104153857,0.084357892,0.02082849,0.008089573,0.080437812,0.026765501,0.02563982,0.004836909,0.019115211,0.039916425,0.003219048,0.117537748,0.141103008,0.0,0.0,0.150103176,0.126613375,0.0,0.44955591,0.109279958,0.159167773,0.116754673,0.0,0.343025301,0.036468726
47,1,0.917241706,0.164382664,0.850910045,0.708908152,0.595691218,0.241532768,1.322446155,1.0,0.02878532,0.062354733,0.375793424,0.131029668,0.071377822,0.035354563,0.012934554,0.157509103,0.050527504,0.030097251,0.006923958,0.016715774,0.078004046,0.011686128,0.0,0.00200017,0.0,0.0,0.0,0.0,0.0,0.0001285,0.0,0.0,0.0,0.0,0.0,0.0
48,1,0.917241706,0.164382664,0.850910045,0.708908152,0.595691218,0.241532768,1.322446155,1.0,0.039081699,0.067870883,0.395548742,0.173887644,0.080600101,0.053550695,0.026273438,0.218071934,0.095016953,0.045186214,0.020819282,0.024926206,0.167781522,0.007540373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,1,0.871175885,0.162076638,0.478490249,0.72281759,0.688711504,0.217620464,1.267156906,1.0,0.053882786,0.069358831,0.384667136,0.189916267,0.080720584,0.079359638,0.027952062,0.285355933,0.127383723,0.060405339,0.035799885,0.033183784,0.137307609,0.0027147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,1,0.871175885,0.162076638,0.478490249,0.72281759,0.688711504,0.217620464,1.267156906,1.0,0.074241434,0.068596568,0.351987942,0.204893494,0.080744679,0.095594132,0.024278578,0.298568796,0.163136526,0.071031618,0.03177031,0.037215802,0.09501093,0.00874617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,1,0.871175885,0.162076638,0.478490249,0.72281759,0.688711504,0.217620464,1.267156906,1.0,0.09022677,0.069388297,0.307868483,0.199648295,0.074458796,0.101594389,0.024032189,0.273179653,0.19062214,0.073450219,0.028772741,0.040190268,0.064644565,0.013937888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,1,0.871175885,0.162076638,0.478490249,0.72281759,0.688711504,0.217620464,1.267156906,1.0,0.093854112,0.073914417,0.267356421,0.186855936,0.064901197,0.102930513,0.020917268,0.236356005,0.218520451,0.070587541,0.030730334,0.041968845,0.054308454,0.00786501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,1,0.871175885,0.162076638,0.478490249,0.72281759,0.688711504,0.217620464,1.267156906,1.0,0.089091925,0.06820612,0.223440296,0.172138619,0.05452032,0.10081934,0.018033386,0.182672195,0.232046835,0.067088137,0.031524889,0.038497162,0.051218297,0.007445963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,1,0.871175885,0.162076638,0.478490249,0.72281759,0.688711504,0.217620464,1.267156906,1.0,0.086000374,0.060441278,0.190472285,0.159490554,0.046789614,0.100285201,0.018275386,0.135968766,0.25373427,0.06451256,0.030913732,0.036336501,0.054052657,0.007826915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,1,0.871175885,0.162076638,0.478490249,0.72281759,0.688711504,0.217620464,1.267156906,1.0,0.080303368,0.04958878,0.152467839,0.149366042,0.03764675,0.093138917,0.020089949,0.105881306,0.270172017,0.059927706,0.028675004,0.036447069,0.041639553,0.00549648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,1,0.871175885,0.162076638,0.478490249,0.72281759,0.688711504,0.217620464,1.267156906,1.0,0.077144903,0.041430089,0.127947849,0.137667265,0.033009534,0.087171044,0.022387314,0.089310164,0.255575595,0.056196748,0.026952025,0.03916235,0.036039915,0.003681159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,1,0.871175885,0.162076638,0.478490249,0.72281759,0.688711504,0.217620464,1.267156906,1.0,0.077587404,0.03539481,0.112424307,0.132670198,0.027803033,0.085967322,0.024672429,0.07831166,0.249499608,0.050473676,0.027958028,0.040300091,0.029656703,0.001565217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
