Time_Index,h2_demand_N,h2_demand_NE,h2_demand_SE,h2_demand_S,Demand_Zero,Demand_Ammonia,Demand_Biomethane,Demand_Gasoline,Demand_BioDiesel,Demand_GreenDiesel,Demand_Jetfuel,Demand_Ethanol,Demand_Charcoal,elec_demand_SE,elec_demand_S,elec_demand_NE,elec_demand_N
141,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,63915.02425,19858.40611,15717.01443,24118.96262
142,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,64095.16314,20087.95882,15902.27196,24121.02224
143,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,62959.78074,19759.09929,15045.03698,24106.51769
144,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,60292.55036,19394.49834,13080.0946,24154.42493
145,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,57316.72343,18884.01099,10231.93644,24116.06096
146,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,54868.45392,17970.80207,8774.928737,24056.88842
147,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,53923.91345,16176.84159,8122.050673,24054.55191
148,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,52771.43602,15405.89571,7912.073982,24011.6932
149,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,52823.1278,14742.13547,7740.28251,24032.8267
150,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,52867.84133,14823.44783,7738.383954,23960.76545
151,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,55048.39343,13634.43262,10839.65978,22395.38693
152,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,58905.80088,14949.33583,15284.51107,20012.89613
153,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,63130.49735,18693.187,17272.8256,16809.67325
154,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,64896.10639,19368.20991,19784.87443,15405.08001
155,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,66801.61688,20438.61316,21315.14116,14918.23447
156,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,67675.65932,20716.34492,21739.17352,14860.03168
157,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,67253.38153,19584.54656,21982.48266,14181.80247
158,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,68221.80513,20870.08885,21941.25108,15651.41078
159,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,68295.67939,21171.59277,21828.14272,17015.33514
160,100,100,100,100,0,1417.491835,231.8852079,45144.56048,4385.29898,9472.245198,5804.578576,13194.29077,21.73923824,66643.31982,20881.30894,22371.6079,18461.63148
