Time_Index,Demand_fossil_Jetfuel,Demand_SAF_Jetfuel,Demand_Jetfuel,Demand_Flexfuel,Demand_BioDiesel,Demand_Diesel,Demand_Ethanol,Demand_Gasoline,elec_demand_S,elec_demand_NE,elec_demand_N
117,2248,439,1799,62359,8966,80695,3245,8775,14632.14796,15980.94734,13492.44667
118,2248,439,1799,62359,8966,80695,3245,8775,14232.77985,16622.87041,12405.62503
119,2248,439,1799,62359,8966,80695,3245,8775,12928.43482,16503.24989,12330.49554
120,2248,439,1799,62359,8966,80695,3245,8775,11291.46155,16219.19146,12147.91015
121,2248,439,1799,62359,8966,80695,3245,8775,8960.476396,16174.93948,11921.83268
122,2248,439,1799,62359,8966,80695,3245,8775,7544.230277,15848.68637,11962.44468
123,2248,439,1799,62359,8966,80695,3245,8775,6578.903364,14678.99609,13541.85593
124,2248,439,1799,62359,8966,80695,3245,8775,6243.375393,14525.92893,13603.79243
125,2248,439,1799,62359,8966,80695,3245,8775,6197.20963,14457.22829,13303.69118
126,2248,439,1799,62359,8966,80695,3245,8775,7444.277672,14415.25582,13025.31756
127,2248,439,1799,62359,8966,80695,3245,8775,9144.110744,13783.78693,12406.30725
128,2248,439,1799,62359,8966,80695,3245,8775,10687.20793,15684.72162,11481.61189
129,2248,439,1799,62359,8966,80695,3245,8775,12998.67892,15304.3605,11875.17365
130,2248,439,1799,62359,8966,80695,3245,8775,12955.2829,14666.29811,12117.77289
131,2248,439,1799,62359,8966,80695,3245,8775,13441.98209,14597.71056,12446.47639
132,2248,439,1799,62359,8966,80695,3245,8775,13276.27098,14411.69669,12600.34905
133,2248,439,1799,62359,8966,80695,3245,8775,12699.85082,14004.26618,12099.90217
134,2248,439,1799,62359,8966,80695,3245,8775,14183.20153,13484.51295,12953.2145
135,2248,439,1799,62359,8966,80695,3245,8775,15548.51014,13445.69686,13848.66803
136,2248,439,1799,62359,8966,80695,3245,8775,15597.02651,13428.62437,14215.77985
137,2248,439,1799,62359,8966,80695,3245,8775,15529.91689,14142.37867,14050.74151
138,2248,439,1799,62359,8966,80695,3245,8775,15116.97713,13717.80128,14529.14774
139,2248,439,1799,62359,8966,80695,3245,8775,14457.37498,14692.57393,15140.24458
140,2248,439,1799,62359,8966,80695,3245,8775,15063.83411,15261.18181,15009.06379
141,2248,439,1799,62359,8966,80695,3245,8775,15475.25146,15124.26561,15103.49725
142,2248,439,1799,62359,8966,80695,3245,8775,15882.29506,15015.80654,15042.0356
143,2248,439,1799,62359,8966,80695,3245,8775,15067.51569,16032.43561,14874.43309
144,2248,439,1799,62359,8966,80695,3245,8775,13740.19861,15411.4844,14381.357
145,2248,439,1799,62359,8966,80695,3245,8775,11352.39995,15730.81864,13753.33817
146,2248,439,1799,62359,8966,80695,3245,8775,7975.344148,15384.30193,13918.15556
147,2248,439,1799,62359,8966,80695,3245,8775,7145.566444,14951.8901,14025.6822
