Time_Index,h2_demand_N,h2_demand_NE,h2_demand_SE,h2_demand_S,Demand_Zero,Demand_Hydrogen,Demand_Ammonia,Demand_Biomethane,Demand_Gasoline,Demand_BioDiesel,Demand_GreenDiesel,Demand_Jetfuel,Demand_Ethanol,Demand_Charcoal,elec_demand_SE,elec_demand_S,elec_demand_NE,elec_demand_N
60,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,45679.54612,11288.45503,13415.18044,11709.79322
61,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,45467.66333,10227.87773,13130.03087,11483.07519
62,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,45826.31597,12078.27345,13579.52611,11517.93282
63,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,45831.45234,12414.61653,15371.87475,11803.78382
64,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,45284.61748,13396.71405,15201.8214,12655.84216
65,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,44671.53083,13782.40673,13953.99206,14191.22639
66,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,43578.3512,13709.83117,13198.23552,15117.75816
67,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,43697.79229,13646.43335,14282.42845,15106.09728
68,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,45693.54487,13996.08208,15958.01043,14606.37528
69,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,45699.34899,14262.69591,16235.83047,13977.08017
70,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,45821.14666,13719.24367,15975.54219,13965.12082
71,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,43975.13735,12964.67223,16037.32792,14107.43144
72,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,42215.60992,11290.94568,15858.56721,14246.39197
73,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,40646.73107,9582.194819,15497.20991,13988.0908
74,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,39256.84967,8023.8716,15035.32519,13994.33455
75,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,38415.59675,6674.637373,14836.47744,13802.92477
