Time_Index,Amazonas_hydro_res,Doce_hydro_res,Grande_hydro_res,Iguacu_hydro_res,Jacui_capivari_hydro_res,Jequitinhonha_hydro_res,Paraiba_do_sul_hydro_res,Parana_hydro_res,Paranaiba_hydro_res,Paranapanema_hydro_res,Parnaiba_hydro_res,Sao_francisco_hydro_res,Tiete_hydro_res,Tocantins_hydro_res,Uruguai_hydro_res
56,0.040957458,0.208041964,0.607514,0.796750479,0.798692823,0.085945464,0.710360351,1.072546458,0.317510722,0.97472672,0.1854193,0.399671928,1.138712817,0.341455366,0.286849811
57,0.040957458,0.208041964,0.607514,0.796750479,0.798692823,0.085945464,0.710360351,1.072546458,0.317510722,0.97472672,0.1854193,0.399671928,1.138712817,0.341455366,0.286849811
58,0.040957458,0.208041964,0.607514,0.796750479,0.798692823,0.085945464,0.710360351,1.072546458,0.317510722,0.97472672,0.1854193,0.399671928,1.138712817,0.341455366,0.286849811
59,0.040957458,0.208041964,0.607514,0.796750479,0.798692823,0.085945464,0.710360351,1.072546458,0.317510722,0.97472672,0.1854193,0.399671928,1.138712817,0.341455366,0.286849811
60,0.040957458,0.208041964,0.607514,0.796750479,0.798692823,0.085945464,0.710360351,1.072546458,0.317510722,0.97472672,0.1854193,0.399671928,1.138712817,0.341455366,0.286849811
61,0.040957458,0.208041964,0.607514,0.796750479,0.798692823,0.085945464,0.710360351,1.072546458,0.317510722,0.97472672,0.1854193,0.399671928,1.138712817,0.341455366,0.286849811
62,0.040957458,0.208041964,0.607514,0.796750479,0.798692823,0.085945464,0.710360351,1.072546458,0.317510722,0.97472672,0.1854193,0.399671928,1.138712817,0.341455366,0.286849811
63,0.040957458,0.208041964,0.607514,0.796750479,0.798692823,0.085945464,0.710360351,1.072546458,0.317510722,0.97472672,0.1854193,0.399671928,1.138712817,0.341455366,0.286849811
64,0.040957458,0.208041964,0.607514,0.796750479,0.798692823,0.085945464,0.710360351,1.072546458,0.317510722,0.97472672,0.1854193,0.399671928,1.138712817,0.341455366,0.286849811
65,0.040957458,0.208041964,0.607514,0.796750479,0.798692823,0.085945464,0.710360351,1.072546458,0.317510722,0.97472672,0.1854193,0.399671928,1.138712817,0.341455366,0.286849811
66,0.040957458,0.208041964,0.607514,0.796750479,0.798692823,0.085945464,0.710360351,1.072546458,0.317510722,0.97472672,0.1854193,0.399671928,1.138712817,0.341455366,0.286849811
67,0.040957458,0.208041964,0.607514,0.796750479,0.798692823,0.085945464,0.710360351,1.072546458,0.317510722,0.97472672,0.1854193,0.399671928,1.138712817,0.341455366,0.286849811
