Type,id,location,edges--fuel_edge--unidirectional,edges--fuel_edge--commodity,edges--fuel_edge--has_capacity,edges--elec_edge--unidirectional,edges--elec_edge--commodity,edges--elec_edge--has_capacity,edges--h2_edge--integer_decisions,edges--h2_edge--can_retire,edges--h2_edge--constraints--MinFlowConstraint,edges--h2_edge--constraints--MinDownTimeConstraint,edges--h2_edge--constraints--CapacityConstraint,edges--h2_edge--constraints--MinUpTimeConstraint,edges--h2_edge--constraints--RampingLimitConstraint,edges--h2_edge--unidirectional,edges--h2_edge--commodity,edges--h2_edge--can_expand,edges--h2_edge--uc,edges--h2_edge--has_capacity,edges--co2_edge--end_vertex,edges--co2_edge--unidirectional,edges--co2_edge--commodity,edges--co2_edge--has_capacity,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--commodity,edges--co2_captured_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--fuel_edge--start_vertex,edges--elec_edge--start_vertex,edges--h2_edge--min_down_time,edges--h2_edge--lifetime,edges--h2_edge--wacc,edges--h2_edge--capital_recovery_period,edges--h2_edge--fixed_om_cost,edges--h2_edge--existing_capacity,edges--h2_edge--min_up_time,edges--h2_edge--capacity_size,edges--h2_edge--ramp_down_fraction,edges--h2_edge--end_vertex,edges--h2_edge--variable_om_cost,edges--h2_edge--investment_cost,edges--h2_edge--ramp_up_fraction,edges--h2_edge--min_flow_fraction,edges--h2_edge--startup_cost,edges--co2_captured_edge--end_vertex,transforms--fuel_consumption,transforms--emission_rate,transforms--capture_rate,transforms--electricity_consumption,Note
ThermalHydrogenCCS,BR_MT_SMRH2_CCS,BR_MT,TRUE,NaturalGas,FALSE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Hydrogen,TRUE,FALSE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,FALSE,TRUE,Hydrogen,natgas_BR,elec_BR_MT,12,30,0.1,20,34880.68,0,22,668.931,0.5,h2_BR_MT,7.28,1340438.7,0.5,0.85,0.254,co2_captured_BR_MT,1.479,0.007,0.174,0.0612,https://www.osti.gov/servlets/purl/1862910
ThermalHydrogenCCS,BR_MS_SMRH2_CCS,BR_MS,TRUE,NaturalGas,FALSE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Hydrogen,TRUE,FALSE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,FALSE,TRUE,Hydrogen,natgas_BR,elec_BR_MS,12,30,0.1,20,34880.68,0,22,668.931,0.5,h2_BR_MS,7.28,1340438.7,0.5,0.85,0.254,co2_captured_BR_MS,1.479,0.007,0.174,0.0612,https://www.osti.gov/servlets/purl/1862910
ThermalHydrogenCCS,BR_MG_SMRH2_CCS,BR_MG,TRUE,NaturalGas,FALSE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Hydrogen,TRUE,FALSE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,FALSE,TRUE,Hydrogen,natgas_BR,elec_BR_MG,12,30,0.1,20,34880.68,0,22,668.931,0.5,h2_BR_MG,7.28,1340438.7,0.5,0.85,0.254,co2_captured_BR_MG,1.479,0.007,0.174,0.0612,https://www.osti.gov/servlets/purl/1862910
ThermalHydrogenCCS,BR_PA_SMRH2_CCS,BR_PA,TRUE,NaturalGas,FALSE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Hydrogen,TRUE,FALSE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,FALSE,TRUE,Hydrogen,natgas_BR,elec_BR_PA,12,30,0.1,20,34880.68,0,22,668.931,0.5,h2_BR_PA,7.28,1340438.7,0.5,0.85,0.254,co2_captured_BR_PA,1.479,0.007,0.174,0.0612,https://www.osti.gov/servlets/purl/1862910
ThermalHydrogenCCS,BR_PB_SMRH2_CCS,BR_PB,TRUE,NaturalGas,FALSE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Hydrogen,TRUE,FALSE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,FALSE,TRUE,Hydrogen,natgas_BR,elec_BR_PB,12,30,0.1,20,34880.68,0,22,668.931,0.5,h2_BR_PB,7.28,1340438.7,0.5,0.85,0.254,co2_captured_BR_PB,1.479,0.007,0.174,0.0612,https://www.osti.gov/servlets/purl/1862910
ThermalHydrogenCCS,BR_PR_SMRH2_CCS,BR_PR,TRUE,NaturalGas,FALSE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Hydrogen,TRUE,FALSE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,FALSE,TRUE,Hydrogen,natgas_BR,elec_BR_PR,12,30,0.1,20,34880.68,0,22,668.931,0.5,h2_BR_PR,7.28,1340438.7,0.5,0.85,0.254,co2_captured_BR_PR,1.479,0.007,0.174,0.0612,https://www.osti.gov/servlets/purl/1862910
ThermalHydrogenCCS,BR_PE_SMRH2_CCS,BR_PE,TRUE,NaturalGas,FALSE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Hydrogen,TRUE,FALSE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,FALSE,TRUE,Hydrogen,natgas_BR,elec_BR_PE,12,30,0.1,20,34880.68,0,22,668.931,0.5,h2_BR_PE,7.28,1340438.7,0.5,0.85,0.254,co2_captured_BR_PE,1.479,0.007,0.174,0.0612,https://www.osti.gov/servlets/purl/1862910
ThermalHydrogenCCS,BR_PI_SMRH2_CCS,BR_PI,TRUE,NaturalGas,FALSE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Hydrogen,TRUE,FALSE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,FALSE,TRUE,Hydrogen,natgas_BR,elec_BR_PI,12,30,0.1,20,34880.68,0,22,668.931,0.5,h2_BR_PI,7.28,1340438.7,0.5,0.85,0.254,co2_captured_BR_PI,1.479,0.007,0.174,0.0612,https://www.osti.gov/servlets/purl/1862910
ThermalHydrogenCCS,BR_RJ_SMRH2_CCS,BR_RJ,TRUE,NaturalGas,FALSE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Hydrogen,TRUE,FALSE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,FALSE,TRUE,Hydrogen,natgas_BR,elec_BR_RJ,12,30,0.1,20,34880.68,0,22,668.931,0.5,h2_BR_RJ,7.28,1340438.7,0.5,0.85,0.254,co2_captured_BR_RJ,1.479,0.007,0.174,0.0612,https://www.osti.gov/servlets/purl/1862910
ThermalHydrogenCCS,BR_RN_SMRH2_CCS,BR_RN,TRUE,NaturalGas,FALSE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Hydrogen,TRUE,FALSE,TRUE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,CO2Captured,FALSE,TRUE,Hydrogen,natgas_BR,elec_BR_RN,12,30,0.1,20,34880.68,0,22,668.931,0.5,h2_BR_RN,7.28,1340438.7,0.5,0.85,0.254,co2_captured_BR_RN,1.479,0.007,0.174,0.0612,https://www.osti.gov/servlets/purl/1862910
