Type,id,location,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--charcoal_production,transforms--electricity_consumption,transforms--capture_rate,transforms--co2_content,transforms--emission_rate,edges--biomass_edge--commodity,edges--biomass_edge--unidirectional,edges--biomass_edge--has_capacity,edges--biomass_edge--can_expand,edges--biomass_edge--lifetime,edges--biomass_edge--wacc,edges--biomass_edge--can_retire,edges--biomass_edge--integer_decisions,edges--biomass_edge--constraints--CapacityConstraint,edges--biomass_edge--start_vertex,edges--biomass_edge--capacity_size,edges--biomass_edge--investment_cost,edges--biomass_edge--fixed_om_cost,edges--biomass_edge--variable_om_cost,edges--biomass_edge--existing_capacity,edges--biomass_edge--availability--timeseries--path,edges--biomass_edge--availability--timeseries--header,edges--charcoal_edge--commodity,edges--charcoal_edge--unidirectional,edges--charcoal_edge--has_capacity,edges--charcoal_edge--end_vertex,edges--elec_edge--commodity,edges--elec_edge--unidirectional,edges--elec_edge--has_capacity,edges--elec_edge--start_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--start_vertex,edges--co2_emission_edge--commodity,edges--co2_emission_edge--unidirectional,edges--co2_emission_edge--has_capacity,edges--co2_emission_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--has_capacity,edges--co2_captured_edge--end_vertex
BECCSCharcoal,BR_PI_BECCS_charcoal,BR_PI,Biomass,TRUE,2.67,0.01,0,1.833,0.797,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_PI,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,TRUE,FALSE,charcoal_BR,Electricity,TRUE,FALSE,elec_BR_PI,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_PI
BECCSCharcoal,BR_RJ_BECCS_charcoal,BR_RJ,Biomass,TRUE,2.67,0.01,0,1.833,0.797,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_RJ,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,TRUE,FALSE,charcoal_BR,Electricity,TRUE,FALSE,elec_BR_RJ,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_RJ
BECCSCharcoal,BR_RN_BECCS_charcoal,BR_RN,Biomass,TRUE,2.67,0.01,0,1.833,0.797,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_RN,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,TRUE,FALSE,charcoal_BR,Electricity,TRUE,FALSE,elec_BR_RN,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_RN
BECCSCharcoal,BR_RS_BECCS_charcoal,BR_RS,Biomass,TRUE,2.67,0.01,0,1.833,0.797,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_RS,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,TRUE,FALSE,charcoal_BR,Electricity,TRUE,FALSE,elec_BR_RS,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_RS
BECCSCharcoal,BR_RO_BECCS_charcoal,BR_RO,Biomass,TRUE,2.67,0.01,0,1.833,0.797,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_RO,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,TRUE,FALSE,charcoal_BR,Electricity,TRUE,FALSE,elec_BR_RO,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_RO
BECCSCharcoal,BR_RR_BECCS_charcoal,BR_RR,Biomass,TRUE,2.67,0.01,0,1.833,0.797,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_RR,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,TRUE,FALSE,charcoal_BR,Electricity,TRUE,FALSE,elec_BR_RR,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_RR
BECCSCharcoal,BR_SC_BECCS_charcoal,BR_SC,Biomass,TRUE,2.67,0.01,0,1.833,0.797,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_SC,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,TRUE,FALSE,charcoal_BR,Electricity,TRUE,FALSE,elec_BR_SC,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_SC
BECCSCharcoal,BR_SP_BECCS_charcoal,BR_SP,Biomass,TRUE,2.67,0.01,0,1.833,0.797,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_SP,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,TRUE,FALSE,charcoal_BR,Electricity,TRUE,FALSE,elec_BR_SP,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_SP
BECCSCharcoal,BR_SE_BECCS_charcoal,BR_SE,Biomass,TRUE,2.67,0.01,0,1.833,0.797,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_SE,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,TRUE,FALSE,charcoal_BR,Electricity,TRUE,FALSE,elec_BR_SE,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_SE
BECCSCharcoal,BR_TO_BECCS_charcoal,BR_TO,Biomass,TRUE,2.67,0.01,0,1.833,0.797,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_TO,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,TRUE,FALSE,charcoal_BR,Electricity,TRUE,FALSE,elec_BR_TO,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_TO
