Time_Index,Demand_MW,Demand_heat,Demand_H2_z2,Demand_H2_z3,Demand_NG_z1,Demand_NG_z2,Demand_NG_z3,Demand_Gasoline_z1,Demand_Gasoline_z2,Demand_Gasoline_z3,Demand_JetFuel_z1,Demand_JetFuel_z2,Demand_JetFuel_z3,Demand_Diesel_z1,Demand_Diesel_z2,Demand_Diesel_z3,Demand_Zero
135,77394.74947,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
136,79044.24167,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
137,81410.11217,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
138,80581.53004,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
139,77953.8506,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
140,74952.1584,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
141,71987.86747,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
142,68921.92179,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
143,68285.14108,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
144,69645.97215,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
145,66926.22803,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
146,65138.63881,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
147,64058.79682,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
148,63763.42264,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
149,64257.31129,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
150,65754.32136,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
151,68911.37272,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
152,73763.94861,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
153,81494.50479,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
154,85103.24848,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
155,86046.91146,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
156,85301.76295,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
157,82141.83458,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
158,84224.79799,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
159,84939.25827,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
