Time_Index,Demand_MW,Demand_MW_25,Demand_MW_30,Demand_MW_35,Demand_heat,Demand_Zero,,,,,,
110,77257.61145,81909.98218,86046.17385,89209.37427,8700,0,,,,,,
111,78265.52791,82978.5943,87168.74745,90373.21554,8700,0,,,,,,
112,79259.05926,84031.95504,88275.29954,91520.44632,8700,0,,,,,,
113,81033.22238,85912.95637,90251.28541,93569.07272,8700,0,,,,,,
114,80289.03287,85123.95256,89422.43944,92709.75699,8700,0,,,,,,
115,78171.54521,82878.95206,87064.0736,90264.6937,8700,0,,,,,,
116,75243.69655,79774.79148,83803.16286,86883.90647,8700,0,,,,,,
117,72331.19201,76686.89903,80559.34174,83520.83708,8700,0,,,,,,
118,69099.33811,73260.42635,76959.84316,79789.01495,8700,0,,,,,,
119,68081.83158,72181.64666,75826.58856,78614.10003,8700,0,,,,,,
120,69852.15868,74058.58097,77798.30203,80658.29697,8700,0,,,,,,
121,66971.30137,71004.24151,74589.72822,77331.77064,8700,0,,,,,,
122,64990.95172,68904.63732,72384.10075,75045.06064,8700,0,,,,,,
123,63729.85739,67567.60124,70979.54863,73588.87485,8700,0,,,,,,
124,63333.78746,67147.68041,70538.42313,73131.53285,8700,0,,,,,,
125,63702.04618,67538.11527,70948.57371,73556.76124,8700,0,,,,,,
126,65039.86108,68956.49195,72438.57387,75101.53628,8700,0,,,,,,
127,68336.92747,72452.10416,76110.70329,78908.65929,8700,0,,,,,,
128,73617.22052,78050.37081,81991.66447,85005.81438,8700,0,,,,,,
129,81168.44238,86056.31917,90401.88757,93725.21127,8700,0,,,,,,
130,82060.31898,87001.90363,91395.22101,94755.0613,8700,0,,,,,,
131,80179.70606,85008.04221,89300.67598,92583.51731,8700,0,,,,,,
132,78160.03713,82866.75097,87051.2564,90251.40532,8700,0,,,,,,
133,74160.97755,78626.8723,82597.27744,85633.69069,8700,0,,,,,,
134,76100.08989,80682.75591,84756.97659,87872.78397,8700,0,,,,,,
135,77394.74947,82055.37851,86198.91223,89367.72756,8700,0,,,,,,
136,79044.24167,83804.20137,88036.04503,91272.39642,8700,0,,,,,,
137,81410.11217,86312.54206,90671.04889,94004.26741,8700,0,,,,,,
138,80581.53004,85434.0636,89748.21009,93047.50351,8700,0,,,,,,
139,77953.8506,82648.14811,86821.61479,90013.32171,8700,0,,,,,,
140,74952.1584,79465.69722,83478.46033,86547.26732,8700,0,,,,,,
141,71987.86747,76322.89986,80176.96177,83124.40019,8700,0,,,,,,
142,68921.92179,73072.32621,76762.24457,79584.1523,8700,0,,,,,,
143,68285.14108,72397.19924,76053.02585,78848.86153,8700,0,,,,,,
144,69645.97215,73839.97811,77568.66043,80420.21335,8700,0,,,,,,
145,66926.22803,70956.4539,74539.52749,77279.72445,8700,0,,,,,,
146,65138.63881,69061.21797,72548.58822,75215.59494,8700,0,,,,,,
147,64058.79682,67916.34905,71345.90708,73968.70125,8700,0,,,,,,
148,63763.42264,67603.18776,71016.93214,73627.63265,8700,0,,,,,,
149,64257.31129,68126.81785,71567.00388,74197.92594,8700,0,,,,,,
150,65754.32136,69713.97627,73234.30871,75926.52366,8700,0,,,,,,
151,68911.37272,73061.14188,76750.49547,79571.97129,8700,0,,,,,,
152,73763.94861,78205.9347,82155.08384,85175.24132,8700,0,,,,,,
153,81494.50479,86402.01671,90765.04173,94101.71558,8700,0,,,,,,
154,85103.24848,90228.07509,94784.3038,98268.7324,8700,0,,,,,,
155,86046.91146,91228.56444,95835.31466,99358.38017,8700,0,,,,,,
