Time_Index,elec_BR_AC,elec_BR_AL,elec_BR_AP,elec_BR_AM,elec_BR_BA,elec_BR_CE,elec_BR_DF,elec_BR_ES,elec_BR_GO,elec_BR_MA,elec_BR_MT,elec_BR_MS,elec_BR_MG,elec_BR_PA,elec_BR_PB,elec_BR_PR,elec_BR_PE,elec_BR_PI,elec_BR_RJ,elec_BR_RN,elec_BR_RS,elec_BR_RO,elec_BR_RR,elec_BR_SC,elec_BR_SP,elec_BR_SE,elec_BR_TO
39,0,2539.07,2545.67,1550.08,21702.27,1487.32,4.4,680.32,4122.63,2732.96,7031.09,1534.54,2938.52,6301.42,1789.21,831.45,9171.22,15247.69,10269.09,8995.23,10951.06,389.49,8154.4,11810.68,20.88,12300.93,1166.58
40,0,2535.73,2517.49,1550.71,21440.65,1355.47,4.4,684.78,4115.94,2803.93,6779.8,1535.47,2970.26,6534.29,1782.17,812.59,9089.95,11896.88,10263.37,8880.31,10945.46,366.52,8277.77,11352.66,19.78,12319.96,1169.43
41,0,2534.96,2507.38,1513.61,20813.06,1343.76,4.4,685.9,4137.48,2850.12,6812.6,1528.25,2968.19,6513.51,1754.25,802.52,8986.36,10997.92,10284.64,9219.09,10946.16,343.45,8101.92,10805.81,19.78,12372.3,1169.15
42,0,2549.97,2486.4,1509.1,20460.34,1426.72,4.4,693.04,4115.89,2812.33,6886.57,1534.66,2966,7245.88,1669.88,990.17,8962.43,11351.41,10284.45,9168.22,10946.19,330.62,7932.71,11191.78,19.78,12394.15,1170.93
43,0,2587.46,2421.69,1508.98,19730.6,1336.84,4.4,694.34,4096.27,2718.23,7026.95,1529.45,2948.75,7409.24,1524.21,1101.09,9024.67,15274.95,10278.04,9030.03,10958.95,302.51,8016.84,12937.68,21.97,12400.93,1167.27
44,0,2802.23,2371.46,1495.94,20070.03,1829.2,25.12,748.04,4164.44,2831.59,8186.09,1516.38,2958.88,7165.31,1487.74,1353.27,9456.9,20740.82,10323.46,10025.91,10956.43,34.74,8318.11,13142.78,48.04,12595.54,1200.9
45,3.31,2823.5,2370.86,1493.35,21082.56,3401.17,162.22,944.06,4688.65,3181.16,13078.75,1728.54,3309.97,6716.55,2148.27,1674.48,10939.65,18870.06,10674.67,10538.89,10484.56,201.42,8273.19,12922.5,111.51,13508.16,1367.01
46,33.27,3175.06,2242.38,1536.12,19133.99,4288.06,339.59,1097.56,5410.74,3617.35,17171.96,2272.42,4148.05,7026,2530.53,1700.02,10839.36,16830.03,11038.81,11062.2,8897.89,300.66,8336.83,13123.04,185.62,16054.61,1568.43
47,83.86,3477.87,1992.45,1547.46,18806.84,4443.1,487.24,1167.56,5982.45,3662.13,17398.64,2798.67,4940.31,7087.56,2584.78,1852.32,10729.34,14596.93,11474.52,11155.43,7336.72,336.4,9144.4,12365.5,242.08,18083.6,1743.03
48,129.43,3644.34,2008.94,1566.68,17013.14,4538.5,602.77,1228.34,6371.09,3770.12,17488.19,3245.19,5595.18,7453.54,2494.12,1903.95,10395.65,13967.71,11837.61,10960.94,6775.22,318.8,9449.99,12235.8,271.38,19294.87,1868.12
49,166.87,3729.88,1925.15,1602.93,16811.09,4411.47,655.19,1297.76,6650.49,3823.05,17388.34,3476.77,6148.09,7450.45,2281.28,1977.54,10412.95,13568.47,12316.06,10874.92,6723.22,275.4,9122.26,10410.7,275.23,19978.36,1932.83
50,190.69,3691.93,1979.87,1614.16,15616.95,4008.07,655.4,1328.02,6818.02,3764.96,17697.45,3562.17,6384.01,7325.32,2014.29,2055.68,9512.72,13119.2,12432.47,9814.83,6774.1,260.49,9180.43,8445.58,264.41,19864.53,1935.98
51,197.8,3486.93,2005.18,1596.33,15282.63,3902.07,601.61,1277.77,6710.38,3654.21,19237.77,3417.02,6255.05,8710.58,1799.37,2219.96,9332.78,13280.96,12446.32,9439.67,6801.26,293.7,9427.84,9602.62,241.48,19468.95,1876.12
52,188.96,3136.99,2174.76,1571.71,15586.61,3660.11,485.31,1118.46,6227.74,3522.58,18748.25,3159.26,5803.17,11151.31,1661.68,2166.66,9184.86,13754.94,12188.58,9173.51,8427.23,323.92,9369.09,11295.55,191.32,18484.3,1747.27
53,159.65,2754.17,2394.12,1544.21,16025.57,3308.61,337.25,940.69,5660.57,3435.15,18120.92,2707.65,5292.6,13367.97,1426.92,2528.11,9270.57,13921.98,12279.36,8741.59,10121.04,288.5,8395.25,11965.42,122.56,18673.36,1569.75
54,123.32,2814.14,2500.26,1508.19,17119.64,3020.47,156.83,765.39,5158.08,3332.52,16088.64,2131.2,4681.7,16110.18,1075.7,3045.25,8095.52,17071.89,12842.72,9055.1,10753.18,299.09,7642.18,13021.61,56.06,19506.86,1375.01
55,72.92,3234.21,2505.7,1462.83,18280.34,2204.38,24.09,703.44,5471.38,3094.49,14412.35,1649.7,3870.49,18188.14,1053.8,3939.09,5078.94,23192.33,13530.9,8968.18,12204.95,333.82,7106.52,12927.02,20.87,20429.65,1233.34
56,23.85,3826.36,2220.3,1434.1,20632.64,2462.27,6.59,702.41,5632.45,3197.65,15416.29,1504.99,3439.34,20046.84,1331.87,4448.32,4348.38,25306.96,13551.8,10658.48,12682.76,297.76,8307.5,13019.3,19.78,20635.3,1573.26
57,0.68,3947.78,2197,1440.64,21052.97,2708.91,6.59,694.02,5073.68,3295.11,11614.68,1507.01,3419.91,20220.97,1622.95,4431.12,5592.43,23843.44,13588.73,11354.06,12672.6,296.51,8581.66,13136.18,21.98,20540.45,1608.51
58,0,3983.99,2238.7,1443.5,21448.04,2412.18,6.59,697.85,4972.94,3254.53,9202.17,1500.32,3397.96,19508.8,1654.51,4271.61,7026.16,21920.18,13495.81,10742.69,12610.32,317.19,8604.06,13116.05,21.98,19016.81,1614.89
59,0,3990.67,2287.35,1444.36,21887.89,2134.91,6.59,698.01,4262.79,3435.25,8810.62,1500.3,3404.15,16333.38,1668.18,4107.35,8043.79,23640.29,12331.61,9576.2,12568.55,314.99,8838.03,13173.7,21.98,17506.75,1616.99
60,0,3723.69,2332.84,1444.25,21760.12,1963.63,5.49,698.22,4148.24,3528.37,10037.13,1500.51,3384.62,11003.22,1664.75,3995.44,8526.04,23883.96,11808.89,8513.97,12566.19,321.41,9285.97,13150.02,21.98,15547.14,1617.7
61,0,3091.7,2482.13,1441.31,19688.57,1635.93,4.4,699.34,4128.64,3828.06,9285.21,1498.25,3208.25,8555.83,1640.05,2832.55,8850.49,21368.48,11354.45,8777.16,12609.21,330.56,9088.38,13095.08,21.98,14002.4,1607.5
62,0,2779.25,2566.67,1442.45,18977.31,1467.15,4.4,704.83,4082.14,4569.63,8425.43,1494.48,3268.46,6518.17,1623.93,1991.78,8736.45,17861.65,11618.23,8804.9,12445.97,323.02,7484.07,13062.04,21.98,12954.38,1610.22
63,0,2546.34,2223.65,1443.09,18811.39,1312.44,4.4,706.89,4087.38,3802.21,7436.98,1479.4,3163,5600.04,1573.63,1116.17,8777.09,14750.96,11623.35,9049.09,12430.12,320.88,6680.76,12978.59,20.88,12267.94,1609.21
64,0,2534.81,1933.1,1441.32,18329.19,1314.13,4.4,710.02,4126.53,3543.93,7351.42,1457.82,3010.47,5553.62,1657.69,993.6,8809.86,11420.49,11627.19,9018.22,12410.97,308.22,6330.92,12500.15,19.78,12154.8,1607.98
65,0,2559.76,1946.43,1444.03,18156.12,1202.03,4.4,712.55,4137.41,3555.13,7087.16,1463.14,2974.25,5866.78,1622.76,955.76,8881.74,9287.03,11607.98,9888.32,11091.38,297.84,6416.29,12381.76,19.78,12254.28,1614.52
66,0,2540.36,1961.08,1442.96,18853.29,1114,4.4,714.84,4126.42,3523.03,7080.86,1459.99,2947.5,6130.05,1588.28,903.98,9151.51,8934.25,11476.66,9531.04,10204.18,296.82,6598.16,12350.81,19.78,12180.07,1609.48
67,0,2600.43,1924.51,1434.68,19200.08,1263.97,4.4,714.68,4111.1,3460.15,7491.96,1461.04,2946.45,6207.62,1660.33,838.92,9124.93,9265.65,11280.66,9290.22,10190.16,288.84,6851.98,12440.15,21.98,12253.57,1610.24
68,0,2836.31,1628.97,1267.8,19228.55,2171.86,25.12,799.21,4154.66,3531.99,7772.55,1484.62,2953.71,5510.94,1890.15,1028.88,9017.38,10719.8,11352.88,9433.42,9860.89,276.73,6897.09,12576.24,46.37,12202.76,1631.04
69,2.73,3107.1,1566.86,1182.62,17039.95,3815.33,162.27,1109.74,4628.07,3783.98,11946.01,1661.7,3198,5734.73,2326.68,1927.89,10433.48,10046.39,11689.95,10331.09,7637.25,261.69,6668.82,11517.26,101.55,13245.01,1682.93
70,31.66,3301.41,1472.25,1123.12,14845.06,3750.12,339.69,1444.75,5400.2,4078.91,15674.77,2209.72,4072.96,6213.02,2248.09,1765.78,10120.61,10492.69,12082.86,9776.97,5865.23,258.13,7410.73,10869.46,163.04,15175.41,1810.61
71,82.76,3598.5,1546.87,976.95,12208.78,3846.16,487.24,1685.61,5942.29,4307.5,16868.81,2751.34,4952.58,6640.17,1926.5,1925.09,8358.04,10484.62,12503.55,8170.39,4981.06,285.33,7979.39,10989.22,216.83,16903.43,1984.63
72,124.72,3797.12,1582.62,980.73,10337.28,3912.06,601.92,1810.65,6307.77,4451.57,17586.49,3213.6,5675,6932.92,1664.9,1920.41,6908.69,10530.29,12816.56,6773.73,5134.37,263.98,8423.03,11209.48,254.8,18228.41,2010.96
73,154.36,3884.19,1692.47,915.77,9133.39,3765.56,654.52,1835.16,6592.42,4456.41,17568.81,3520.33,6152.7,7137.78,1432.9,1859.65,5832.66,11106.34,12400.16,5841.4,5435.37,235.92,9012.71,11376,266.38,18953.42,2047.34
74,175.3,3769.26,1720.29,814.03,8980.36,3504.25,631.24,1749.07,6611.45,4381.01,17333.06,3599.57,6323.34,7130.41,1218.14,1762.08,5521.66,11250.65,12036.79,5477.4,5432.41,215.42,9288.57,11419.37,263.36,19002.42,2035.08
75,192.76,3535.24,1689.41,818.44,9663.8,3368.97,561.88,1569.47,6368.87,4360.19,17260.95,3476.05,6192.47,6996.34,1110.07,1773.67,5121.56,11114.15,12600.98,5601.49,5321.85,232.3,9436.97,11391.5,240.93,18555.41,1944.11
76,183.52,3192.8,1669.36,799.76,10906.88,3531.26,485.42,1358.2,6145.33,4187.66,16793.96,3176.74,5744.36,6672.51,1190.28,1980.24,5474.43,10494.98,12589.61,6597.65,5272.87,255.49,8998.72,11994.28,190.03,17726.02,1824.14
77,153.59,2800.95,1882.5,767.03,11678.45,3469.21,334.99,1069.15,5517.34,3926.09,15990.31,2712.1,5102.32,8669.19,1110.7,1994.91,5671.05,13159.04,12871.82,8273.19,5234.03,278.6,8178.94,12108.41,122,16752.4,1665.87
78,110.32,2991.74,2127.37,827.43,12065.84,2984.11,158.11,805.22,5044.71,3696.77,15943.02,2174.36,4445.53,12629.22,712.03,2140.87,5540.71,15168.52,13217.07,9943.15,5872.78,295.81,7556.06,12497.26,53.15,16509.3,1502.84
79,65.06,3503.01,2052.91,1116.9,11999.8,2169.91,23.29,704.91,6216.46,3454.1,17956.99,1680.88,3821.04,16609.54,548.72,2813.41,3919.08,20898.58,13440.4,11584.13,5968.31,294.62,7046.7,12806.7,20.48,17978.72,1357.63
80,23.49,3758.89,1984.8,1294.41,13617,2317.15,6.67,756.66,6431.68,3443.39,18524.07,1563.56,3449.89,20407.79,943.51,3717.34,3630.87,24380.36,13450.38,12431.46,5866.7,288.82,7181.82,12869.35,19.78,19450.03,1312.75
81,0.68,3795.85,1979.54,1404.9,15794.87,2133.68,6.59,746.13,6162.13,3450.18,16162.65,1555.49,3422.82,18919.93,1454.84,3784.34,4738.81,23266.94,13350.05,11422.61,5838.79,309.03,7144.65,12737.78,21.98,17679.04,1310.38
82,0,3951.5,1977.38,1523.26,18462.6,1816.26,6.59,754.1,5458.26,3469.46,13820.55,1557.65,3403.16,15458.85,1594.11,3874.14,5518.7,22387.38,13128.88,10157.11,5828.45,348.09,6721.95,12636.03,21.98,15817.96,1309.09
83,0,3979.14,1981.24,1590.53,21032.55,1762.04,6.59,748.05,4975.29,3577.68,11961.15,1557.77,3408.09,10882.4,1624.91,3869.74,5995.04,22857.7,12143.31,8859.81,5827.05,341.22,6602.36,12673.26,21.98,14266.57,1311.34
84,0,3679.1,1982.82,1593.35,20702.15,1688.26,5.49,718.12,4169.7,3682.14,10018.65,1558.61,3318.06,8432.87,1701.61,3874.01,6756.5,22562.51,11944.02,8396.79,5820.06,345.37,6414.5,12826.48,21.98,13033.6,1312.47
85,0,3013.24,1960.85,1589.93,19348.56,1582.22,4.4,692.37,4134.08,3520.61,8766.81,1554.03,3209.98,7080.6,1686.34,2319.92,7009.51,22116.18,11686.06,8872.61,5812.57,354.51,5889.03,12738.85,21.98,12623.33,1308.42
86,0,2471.6,1786.84,1590.79,18292.59,1618.28,4.4,697.01,4129.32,3398.39,7850.68,1488.51,3190.1,5910.32,1672.14,1572.74,7062.62,20214.1,11526.26,8940.01,5824.01,363.86,5527.89,12850.09,21.98,12300.07,1308.53
