Type,id,location,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--ethanol_production,transforms--bagasse_production,transforms--food_production,transforms--electricity_consumption,transforms--capture_rate,transforms--co2_content,transforms--emission_rate,edges--biomass_edge--commodity,edges--biomass_edge--unidirectional,edges--biomass_edge--has_capacity,edges--biomass_edge--can_expand,edges--biomass_edge--can_retire,edges--biomass_edge--lifetime,edges--biomass_edge--wacc,edges--biomass_edge--integer_decisions,edges--biomass_edge--constraints--CapacityConstraint,edges--biomass_edge--start_vertex,edges--biomass_edge--capacity_size,edges--biomass_edge--investment_cost,edges--biomass_edge--fixed_om_cost,edges--biomass_edge--variable_om_cost,edges--biomass_edge--existing_capacity,edges--biomass_edge--availability--timeseries--path,edges--biomass_edge--availability--timeseries--header,edges--ethanol_edge--commodity,edges--ethanol_edge--unidirectional,edges--ethanol_edge--has_capacity,edges--ethanol_edge--end_vertex,edges--bagasse_edge--commodity,edges--bagasse_edge--unidirectional,edges--bagasse_edge--has_capacity,edges--bagasse_edge--end_vertex,edges--food_edge--commodity,edges--food_edge--unidirectional,edges--food_edge--has_capacity,edges--food_edge--end_vertex,edges--elec_consumption_edge--commodity,edges--elec_consumption_edge--unidirectional,edges--elec_consumption_edge--has_capacity,edges--elec_consumption_edge--start_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--start_vertex,edges--co2_emission_edge--commodity,edges--co2_emission_edge--unidirectional,edges--co2_emission_edge--has_capacity,edges--co2_emission_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--has_capacity,edges--co2_captured_edge--end_vertex
BECCSEthanol,BR_RS_BECCS_sugarcane_ethanol_large,BR_RS,Biomass,TRUE,0.634,0.36,0,0.15,0,1.558,0.8502,Sugarcane,TRUE,TRUE,TRUE,TRUE,30,0.1,FALSE,TRUE,sugarcane_BR_RS,804.81,1460.58,92.73,1.3,0,system/availability_monthly.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_RS,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR_RS,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_RS
BECCSEthanol,BR_RO_BECCS_sugarcane_ethanol_large,BR_RO,Biomass,TRUE,0.634,0.36,0,0.15,0,1.558,0.8502,Sugarcane,TRUE,TRUE,TRUE,TRUE,30,0.1,FALSE,TRUE,sugarcane_BR_RO,804.81,1460.58,92.73,1.3,0,system/availability_monthly.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_RO,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR_RO,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_RO
BECCSEthanol,BR_RR_BECCS_sugarcane_ethanol_large,BR_RR,Biomass,TRUE,0.634,0.36,0,0.15,0,1.558,0.8502,Sugarcane,TRUE,TRUE,TRUE,TRUE,30,0.1,FALSE,TRUE,sugarcane_BR_RR,804.81,1460.58,92.73,1.3,0,system/availability_monthly.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_RR,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR_RR,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_RR
BECCSEthanol,BR_SC_BECCS_sugarcane_ethanol_large,BR_SC,Biomass,TRUE,0.634,0.36,0,0.15,0,1.558,0.8502,Sugarcane,TRUE,TRUE,TRUE,TRUE,30,0.1,FALSE,TRUE,sugarcane_BR_SC,804.81,1460.58,92.73,1.3,0,system/availability_monthly.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_SC,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR_SC,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_SC
BECCSEthanol,BR_SP_BECCS_sugarcane_ethanol_large,BR_SP,Biomass,TRUE,0.634,0.36,0,0.15,0,1.558,0.8502,Sugarcane,TRUE,TRUE,TRUE,TRUE,30,0.1,FALSE,TRUE,sugarcane_BR_SP,804.81,1460.58,92.73,1.3,0,system/availability_monthly.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_SP,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR_SP,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_SP
BECCSEthanol,BR_SE_BECCS_sugarcane_ethanol_large,BR_SE,Biomass,TRUE,0.634,0.36,0,0.15,0,1.558,0.8502,Sugarcane,TRUE,TRUE,TRUE,TRUE,30,0.1,FALSE,TRUE,sugarcane_BR_SE,804.81,1460.58,92.73,1.3,0,system/availability_monthly.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_SE,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR_SE,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_SE
BECCSEthanol,BR_TO_BECCS_sugarcane_ethanol_large,BR_TO,Biomass,TRUE,0.634,0.36,0,0.15,0,1.558,0.8502,Sugarcane,TRUE,TRUE,TRUE,TRUE,30,0.1,FALSE,TRUE,sugarcane_BR_TO,804.81,1460.58,92.73,1.3,0,system/availability_monthly.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_TO,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR_TO,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_TO
BECCSEthanol,BR_AC_BECCS_Lignocellulosic_Ethanol_large,BR_AC,Biomass,TRUE,2.02,0,0,0.1679,0,1.558,1.091,Residue,TRUE,TRUE,TRUE,TRUE,30,0.1,FALSE,TRUE,residue_BR_AC,804.81,3645.58,145.82,69,0,system/availability_monthly.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_AC,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR_AC,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_AC
BECCSEthanol,BR_AL_BECCS_Lignocellulosic_Ethanol_large,BR_AL,Biomass,TRUE,2.02,0,0,0.1679,0,1.558,1.091,Residue,TRUE,TRUE,TRUE,TRUE,30,0.1,FALSE,TRUE,residue_BR_AL,804.81,3645.58,145.82,69,0,system/availability_monthly.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_AL,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR_AL,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_AL
BECCSEthanol,BR_AP_BECCS_Lignocellulosic_Ethanol_large,BR_AP,Biomass,TRUE,2.02,0,0,0.1679,0,1.558,1.091,Residue,TRUE,TRUE,TRUE,TRUE,30,0.1,FALSE,TRUE,residue_BR_AP,804.81,3645.58,145.82,69,0,system/availability_monthly.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_AP,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR_AP,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_AP
