pair_index,dataset,volt_class,capacity_mva,region_1,region_2,province_pair_english
13,newest,765kV,0.0,경상북도,대구광역시,Gyeongbuk–Daegu
13,newest,HVDC,0.0,경상북도,대구광역시,Gyeongbuk–Daegu
14,new,154kV,1356.0,경상북도,대전광역시,Gyeongbuk–Daejeon
14,new,345kV,4346.0,경상북도,대전광역시,Gyeongbuk–Daejeon
14,new,765kV,0.0,경상북도,대전광역시,Gyeongbuk–Daejeon
14,new,HVDC,0.0,경상북도,대전광역시,Gyeongbuk–Daejeon
14,newest,154kV,1356.0,경상북도,대전광역시,Gyeongbuk–Daejeon
14,newest,345kV,4346.0,경상북도,대전광역시,Gyeongbuk–Daejeon
14,newest,765kV,0.0,경상북도,대전광역시,Gyeongbuk–Daejeon
14,newest,HVDC,0.0,경상북도,대전광역시,Gyeongbuk–Daejeon
15,new,154kV,2712.0,경상북도,울산광역시,Gyeongbuk–Ulsan
15,new,345kV,4346.0,경상북도,울산광역시,Gyeongbuk–Ulsan
15,new,765kV,0.0,경상북도,울산광역시,Gyeongbuk–Ulsan
15,new,HVDC,0.0,경상북도,울산광역시,Gyeongbuk–Ulsan
15,newest,154kV,2712.0,경상북도,울산광역시,Gyeongbuk–Ulsan
15,newest,345kV,8692.0,경상북도,울산광역시,Gyeongbuk–Ulsan
15,newest,765kV,0.0,경상북도,울산광역시,Gyeongbuk–Ulsan
15,newest,HVDC,0.0,경상북도,울산광역시,Gyeongbuk–Ulsan
16,new,154kV,904.0,경상북도,충청북도,Gyeongbuk–Chungbuk
16,new,345kV,4346.0,경상북도,충청북도,Gyeongbuk–Chungbuk
16,new,765kV,0.0,경상북도,충청북도,Gyeongbuk–Chungbuk
16,new,HVDC,0.0,경상북도,충청북도,Gyeongbuk–Chungbuk
16,newest,154kV,904.0,경상북도,충청북도,Gyeongbuk–Chungbuk
16,newest,345kV,4346.0,경상북도,충청북도,Gyeongbuk–Chungbuk
16,newest,765kV,0.0,경상북도,충청북도,Gyeongbuk–Chungbuk
16,newest,HVDC,0.0,경상북도,충청북도,Gyeongbuk–Chungbuk
17,new,154kV,4520.0,광주광역시,전라남도,Gwangju–Jeonnam
17,new,345kV,4346.0,광주광역시,전라남도,Gwangju–Jeonnam
17,new,765kV,0.0,광주광역시,전라남도,Gwangju–Jeonnam
17,new,HVDC,0.0,광주광역시,전라남도,Gwangju–Jeonnam
17,newest,154kV,4520.0,광주광역시,전라남도,Gwangju–Jeonnam
17,newest,345kV,8692.0,광주광역시,전라남도,Gwangju–Jeonnam
17,newest,765kV,0.0,광주광역시,전라남도,Gwangju–Jeonnam
17,newest,HVDC,0.0,광주광역시,전라남도,Gwangju–Jeonnam
18,new,154kV,4520.0,광주광역시,전북특별자치도,Gwangju–Jeonbuk
