pair_index,dataset,volt_class,capacity_mva,region_1,region_2,province_pair_english
14,old,154kV,1350.0,경상북도,대전광역시,Gyeongbuk–Daejeon
14,old,345kV,4000.0,경상북도,대전광역시,Gyeongbuk–Daejeon
14,old,765kV,0.0,경상북도,대전광역시,Gyeongbuk–Daejeon
14,old,HVDC,0.0,경상북도,대전광역시,Gyeongbuk–Daejeon
14,new,154kV,1356.0,경상북도,대전광역시,Gyeongbuk–Daejeon
14,new,345kV,4346.0,경상북도,대전광역시,Gyeongbuk–Daejeon
14,new,765kV,0.0,경상북도,대전광역시,Gyeongbuk–Daejeon
14,new,HVDC,0.0,경상북도,대전광역시,Gyeongbuk–Daejeon
15,old,154kV,1800.0,경상북도,울산광역시,Gyeongbuk–Ulsan
15,old,345kV,4000.0,경상북도,울산광역시,Gyeongbuk–Ulsan
15,old,765kV,0.0,경상북도,울산광역시,Gyeongbuk–Ulsan
15,old,HVDC,0.0,경상북도,울산광역시,Gyeongbuk–Ulsan
15,new,154kV,2712.0,경상북도,울산광역시,Gyeongbuk–Ulsan
15,new,345kV,8692.0,경상북도,울산광역시,Gyeongbuk–Ulsan
15,new,765kV,0.0,경상북도,울산광역시,Gyeongbuk–Ulsan
15,new,HVDC,0.0,경상북도,울산광역시,Gyeongbuk–Ulsan
16,old,154kV,900.0,경상북도,충청북도,Gyeongbuk–Chungbuk
16,old,345kV,4000.0,경상북도,충청북도,Gyeongbuk–Chungbuk
16,old,765kV,0.0,경상북도,충청북도,Gyeongbuk–Chungbuk
16,old,HVDC,0.0,경상북도,충청북도,Gyeongbuk–Chungbuk
16,new,154kV,904.0,경상북도,충청북도,Gyeongbuk–Chungbuk
16,new,345kV,4346.0,경상북도,충청북도,Gyeongbuk–Chungbuk
16,new,765kV,0.0,경상북도,충청북도,Gyeongbuk–Chungbuk
16,new,HVDC,0.0,경상북도,충청북도,Gyeongbuk–Chungbuk
17,old,154kV,1800.0,광주광역시,전라남도,Gwangju–Jeonnam
17,old,345kV,4000.0,광주광역시,전라남도,Gwangju–Jeonnam
17,old,765kV,0.0,광주광역시,전라남도,Gwangju–Jeonnam
17,old,HVDC,0.0,광주광역시,전라남도,Gwangju–Jeonnam
17,new,154kV,4520.0,광주광역시,전라남도,Gwangju–Jeonnam
17,new,345kV,8692.0,광주광역시,전라남도,Gwangju–Jeonnam
17,new,765kV,0.0,광주광역시,전라남도,Gwangju–Jeonnam
17,new,HVDC,0.0,광주광역시,전라남도,Gwangju–Jeonnam
18,old,154kV,4500.0,광주광역시,전북특별자치도,Gwangju–Jeonbuk
18,old,345kV,8000.0,광주광역시,전북특별자치도,Gwangju–Jeonbuk
18,old,765kV,0.0,광주광역시,전북특별자치도,Gwangju–Jeonbuk
18,old,HVDC,0.0,광주광역시,전북특별자치도,Gwangju–Jeonbuk
18,new,154kV,4520.0,광주광역시,전북특별자치도,Gwangju–Jeonbuk
18,new,345kV,4346.0,광주광역시,전북특별자치도,Gwangju–Jeonbuk
18,new,765kV,0.0,광주광역시,전북특별자치도,Gwangju–Jeonbuk
18,new,HVDC,0.0,광주광역시,전북특별자치도,Gwangju–Jeonbuk
19,old,154kV,0.0,대구광역시,울산광역시,Daegu–Ulsan
19,old,345kV,4000.0,대구광역시,울산광역시,Daegu–Ulsan
19,old,765kV,0.0,대구광역시,울산광역시,Daegu–Ulsan
19,old,HVDC,0.0,대구광역시,울산광역시,Daegu–Ulsan
19,new,154kV,0.0,대구광역시,울산광역시,Daegu–Ulsan
19,new,345kV,4346.0,대구광역시,울산광역시,Daegu–Ulsan
19,new,765kV,0.0,대구광역시,울산광역시,Daegu–Ulsan
19,new,HVDC,0.0,대구광역시,울산광역시,Daegu–Ulsan
20,old,154kV,5850.0,대전광역시,세종특별자치시,Daejeon–Sejong
20,old,345kV,0.0,대전광역시,세종특별자치시,Daejeon–Sejong
20,old,765kV,0.0,대전광역시,세종특별자치시,Daejeon–Sejong
20,old,HVDC,0.0,대전광역시,세종특별자치시,Daejeon–Sejong
20,new,154kV,5876.0,대전광역시,세종특별자치시,Daejeon–Sejong
20,new,345kV,0.0,대전광역시,세종특별자치시,Daejeon–Sejong
20,new,765kV,0.0,대전광역시,세종특별자치시,Daejeon–Sejong
20,new,HVDC,0.0,대전광역시,세종특별자치시,Daejeon–Sejong
21,old,154kV,5400.0,대전광역시,전북특별자치도,Daejeon–Jeonbuk
21,old,345kV,8000.0,대전광역시,전북특별자치도,Daejeon–Jeonbuk
21,old,765kV,0.0,대전광역시,전북특별자치도,Daejeon–Jeonbuk
21,old,HVDC,0.0,대전광역시,전북특별자치도,Daejeon–Jeonbuk
21,new,154kV,5424.0,대전광역시,전북특별자치도,Daejeon–Jeonbuk
21,new,345kV,8692.0,대전광역시,전북특별자치도,Daejeon–Jeonbuk
21,new,765kV,0.0,대전광역시,전북특별자치도,Daejeon–Jeonbuk
