Time_Index,elec_BR_AC,elec_BR_AL,elec_BR_AP,elec_BR_AM,elec_BR_BA,elec_BR_CE,elec_BR_DF,elec_BR_ES,elec_BR_GO,elec_BR_MA,elec_BR_MT,elec_BR_MS,elec_BR_MG,elec_BR_PA,elec_BR_PB,elec_BR_PR,elec_BR_PE,elec_BR_PI,elec_BR_RJ,elec_BR_RN,elec_BR_RS,elec_BR_RO,elec_BR_RR,elec_BR_SC,elec_BR_SP,elec_BR_SE,elec_BR_TO
34,36.071,1562.516,863.968,522.753,4284.03,1766.537,255.111,1012.142,2465.13,1261.425,10658.469,1207.536,2911.211,11423.887,928.269,1304.613,1807.886,13408.309,5234.051,4549.747,6683.28,196.171,2500.62,2256.855,96.816,8280.467,702.294
35,50.595,1644.066,883.02,538.299,3663.813,1858.736,305.252,1054.329,2663.393,1314.194,11071.095,1340.831,3144.05,11301.965,930.727,1385.553,1863.668,13518.781,5292.484,4476.352,6652.983,182.752,2857.185,2415.508,106.925,9048.491,750.133
36,63.214,1604.42,881.518,546.43,3282.15,1933.583,339.611,1045.45,2792.426,1295.986,11517.919,1439.891,3321.828,11270.638,917.065,1397.219,1909.278,12657.514,5331.11,4473.006,6624.523,188.313,3102.837,2293.57,108.8,9425.953,758.308
37,73.32,1521.637,882.948,536.873,2998.645,1890.217,348.965,1031.796,2768.397,1399.734,11607.353,1462.088,3222.631,11152.802,775.416,1293.594,1810.494,10954.148,5367.126,4516.485,6551.008,188.046,3188.44,2194.721,106.297,9593.636,735.33
38,71.276,1448.473,908.347,511.789,3135.451,1728.345,260.038,1040.726,2736.591,1245.764,12187.549,1361.356,2950.438,11321.287,715.822,1342.468,1909.297,11520.517,5164.115,4929.235,6590.454,184.248,3181.505,2306.773,98.009,10804.995,746.364
39,51.847,1380.543,928.353,497.633,2931.135,1458.358,115.84,948.098,2630.058,1095.04,12401.054,1164.166,2797.515,11986.468,671.387,1274.423,1789.51,13234.951,4996.879,5337.242,6734.386,184.291,3280.528,2634.991,86.643,11186.288,722.815
40,49.564,1277.425,959.209,473.651,3017.77,1489.041,110.735,823.406,2664.588,1011.851,11363.917,1002.338,2690.024,13357.593,501.194,966.242,1414.558,13950.643,4948.953,4967.161,6831.146,206.427,3315.949,3540.661,69.359,11663.04,713.632
41,31.821,1128.904,922.849,458.01,3437.855,1227.561,60.027,689.716,2569.138,1341.117,10455.132,902.789,2469.879,15205.1,399.887,833.975,1092.268,13928.906,4845.668,4466.225,6852.214,203.596,3084.417,3654.612,47.333,11492.095,1017.81
42,34.408,1019.88,899.806,457.39,3121.682,747.857,38.885,585.761,2393.313,1684.971,8458.688,695.774,2297.242,16141.781,114.933,910.183,941.688,13573.818,4671.556,4058.088,6951.585,200.918,3069.1,3939.826,28.901,10680.284,1356.354
43,14.639,1174.021,879.186,469.313,3596.729,680.2,22.78,568.21,2262.875,1727.233,8263.164,521.979,2117.094,15892.132,98.423,1110.264,923.437,13343.208,4622.984,3639.571,6964.337,189.222,2965.362,4454.267,22.006,9909.09,1491.853
44,2.785,1432.904,870.545,476.742,4721.696,752.564,21.0,567.834,2323.329,1768.698,8675.276,456.266,2039.148,15410.995,154.448,1498.796,743.654,13760.788,4606.436,3881.615,6942.17,182.207,2819.764,4408.729,22.0,11064.637,1606.012
45,0.0,1466.425,887.818,496.112,5739.782,705.737,21.0,573.307,2323.073,1793.944,8267.869,456.043,2039.781,14986.529,292.796,1497.69,805.177,14043.52,4601.179,4029.338,6931.663,197.581,2915.205,4400.678,22.0,10742.801,1468.188
46,0.0,1463.877,885.717,495.957,6143.577,684.161,21.0,582.699,2317.292,1788.817,7774.462,456.223,2006.476,14952.683,363.172,1482.342,927.126,14099.791,4603.696,4089.058,6927.323,205.556,2823.653,4303.109,22.0,10379.019,1412.994
47,0.0,1268.376,866.267,496.095,6109.528,708.045,21.0,584.674,2272.8,1685.481,6872.711,458.121,2032.566,15252.718,414.946,1331.927,882.222,13856.044,4609.755,4683.945,6945.476,216.208,2682.137,3866.682,22.0,9139.344,1263.955
48,0.0,1036.494,877.591,490.403,5654.386,756.756,21.0,547.944,2044.571,1504.901,6235.2,454.54,2047.324,15918.398,504.379,1130.081,456.557,12528.725,4637.485,4372.589,6944.532,225.914,2401.063,3523.318,21.5,8698.069,1118.237
49,0.0,982.121,887.766,486.866,5338.478,687.646,21.0,537.936,2072.335,1511.823,5267.399,454.294,2003.27,16374.397,569.081,900.126,294.484,11030.611,4712.023,4538.526,6934.626,229.186,1827.031,2775.04,20.5,8035.908,1154.007
50,0.0,976.335,878.096,486.974,5276.738,625.813,21.0,537.274,2062.876,1524.54,4566.918,458.269,1984.304,16286.204,550.11,776.205,287.283,9871.247,4736.375,4706.322,6928.735,223.931,1571.73,2248.593,20.0,7224.75,1152.096
51,0.0,979.085,876.903,492.647,5533.111,612.643,21.0,538.516,2000.346,1441.276,4520.691,452.64,1987.984,14860.055,588.253,738.432,473.693,9084.933,4738.206,5242.165,6930.729,214.041,1448.36,2134.906,19.5,6563.402,1154.267
52,0.0,986.052,852.881,496.665,5385.123,612.195,21.0,539.88,2007.783,1420.827,4498.62,450.635,1966.893,14511.139,642.052,651.486,877.281,8659.274,4729.445,4883.169,6912.251,203.973,1354.733,2131.541,19.0,6602.144,1160.331
53,0.0,996.816,846.444,498.261,5287.748,571.893,21.0,539.928,2013.85,1358.371,4506.471,452.622,1967.204,14183.118,661.858,563.428,1670.502,8395.299,4733.087,4844.436,6894.704,199.273,1311.941,2112.58,19.0,7023.976,993.7
54,0.0,1005.815,826.621,496.877,4136.23,553.494,21.994,555.726,2014.022,1316.623,4701.193,450.137,2051.921,14112.394,671.051,630.189,2360.867,9493.77,4745.068,5088.877,6864.742,192.205,1286.777,2113.939,22.503,7164.175,967.348
55,0.0,1042.969,801.187,489.357,3501.869,749.014,49.154,647.903,2150.887,1292.532,5686.35,487.093,2049.06,13969.86,702.0,885.205,1695.095,10111.433,4822.674,5079.364,6841.13,176.336,1360.01,2147.758,38.9,7430.848,979.39
56,1.948,1100.683,815.151,474.19,2988.675,942.234,101.239,760.029,2321.438,1342.745,7665.804,619.9,2048.817,13386.009,787.317,901.603,739.978,10846.255,4919.076,5788.977,6760.571,157.49,1733.78,2225.97,60.642,8407.936,1023.699
57,15.126,1137.137,837.626,472.823,2936.852,1169.999,159.202,847.125,2438.51,1242.532,9487.537,763.987,2045.659,12668.978,916.863,852.676,436.369,11745.75,5012.118,5950.536,6754.359,164.922,1965.768,2007.169,79.878,8855.196,838.646
58,32.611,1177.904,862.607,486.527,2666.156,1283.441,250.509,921.799,2574.807,1056.819,10552.461,876.231,2042.482,12161.14,1019.604,745.169,480.315,11300.304,4956.361,5944.746,6693.129,175.968,2237.039,1961.764,96.298,8916.856,713.483
59,46.044,1208.267,876.54,492.186,2525.116,1404.537,260.958,935.388,2729.612,1149.941,11069.858,994.273,2044.363,11817.859,1046.672,723.077,514.463,11448.636,4672.629,5782.7,6571.49,173.895,2413.361,2021.762,104.104,9411.47,735.057
60,57.524,1207.807,864.558,484.583,2644.261,1504.113,204.0,941.336,2751.169,1117.598,11251.852,1070.313,2043.181,11523.238,993.813,893.234,472.589,11000.122,4765.061,5644.564,6600.268,184.714,2545.664,2055.346,107.432,9276.805,719.791
61,63.44,1203.415,868.511,488.301,2489.311,1473.882,151.04,914.888,2697.035,1072.125,11387.934,1089.626,2048.329,10686.834,932.931,1081.769,451.259,9897.491,4794.005,5438.506,6588.686,206.238,2608.891,2060.71,109.244,9576.122,760.925
62,54.851,1182.313,894.174,489.677,2370.427,1470.844,157.907,873.544,2758.154,1098.162,10273.57,997.303,2046.011,11410.558,851.435,1293.239,792.226,12127.323,4704.407,5570.521,6553.741,197.545,2693.827,2097.116,102.51,9925.205,843.183
63,50.091,1145.431,896.633,486.134,3193.031,1655.639,118.64,824.961,2838.135,1153.556,9124.839,906.594,2043.917,11698.621,769.507,1262.891,1608.5,12732.416,4628.159,5716.798,6726.613,226.341,2727.866,2273.474,88.613,10472.874,889.854
64,62.811,1097.496,887.944,471.372,3237.573,1449.176,141.978,732.294,2781.359,1144.132,9003.062,861.282,2047.122,12635.041,708.824,985.582,1752.675,13015.964,4480.54,5968.993,6810.602,221.976,2680.294,3131.758,68.605,10132.438,886.047
65,49.732,1047.143,882.518,442.016,2950.749,1237.145,114.868,624.62,2652.597,1376.738,8451.94,765.66,2044.846,14074.917,517.071,880.122,1675.633,13291.08,4398.768,5656.399,6735.652,217.741,2603.136,3325.633,46.76,10320.654,1119.408
66,30.115,1046.57,875.648,426.842,3715.853,664.685,61.632,562.822,2133.04,1491.734,8045.354,630.457,2054.594,14997.854,239.637,980.47,1646.812,12843.758,4310.307,4924.585,6746.597,214.402,2508.563,3782.972,28.912,10164.301,1405.609
67,12.889,1225.436,842.539,419.448,4752.482,557.552,24.208,561.6,2102.241,1346.805,8056.489,517.296,2100.405,15228.764,246.355,1158.921,1155.53,12766.653,4277.736,5221.026,6881.328,196.249,2270.283,4139.697,22.0,10237.591,1349.806
